Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
Beam_floor149,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6498.068263138793,\,-635.0524563024085,1659.0758451217664,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor175,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6497.54992672222,\,-634.7282484183387,1657.804617772836,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor161,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6489.12540036635,\,-631.7048680228276,1651.8606233526502,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor0,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6474.94884665401,\,-657.2446392606086,1640.306908733775,25662,\,11,\,1.2,\,\,\,33,\,0.2,\,0.2
Beam_floor203,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.91126852853,\,-633.8071491357272,1655.967591301186,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor217,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.655495457088,\,-633.581737249225,1655.7667256128973,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor216,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.903326009399,\,-633.6745292728534,1655.958582271565,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor202,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.683858607645,\,-633.7309942437926,1655.7693953679475,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor160,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6489.103807961462,\,-631.5982104901419,1651.6929774171729,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor174,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6497.311383776,\,-634.6501165432023,1657.6857300936163,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor148,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6498.725092621038,\,-635.4556334700366,1659.7187987332827,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor189,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.317370724948,\,-633.8363613596606,1655.6882110897288,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor162,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6489.357353420571,\,-631.8756193677518,1652.1751836725548,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor176,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6497.674756595206,\,-634.7769760721745,1657.8624461508389,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor228,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6493.488126861168,\,-633.2162139330734,1654.9113527381076,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor214,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.345985023383,\,-633.8486142769033,1656.3134674490957,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor200,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.240025121007,\,-633.5857153925879,1655.3888880157365,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor201,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.45698645139,\,-633.655778608999,1655.5732591847425,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor215,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.136653332563,\,-633.7646836466251,1656.1434292127678,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor229,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6493.641451445067,\,-633.2768581519189,1655.0135303527722,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor177,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6497.694491156606,\,-634.7986469447837,1657.8657968378448,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor163,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6489.780143532174,\,-632.0977984462924,1652.6091185829375,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor188,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.595876612908,\,-633.9464860524783,1655.9142610739007,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor198,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6493.8708936275925,\,-633.4765822790832,1655.0911267568467,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor167,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6492.730537325028,\,-633.2308878615106,1654.9210295013631,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor173,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6496.954178210282,\,-634.5405889680736,1657.499816420847,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor211,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.753201443096,\,-634.0312266691406,1656.6642330805819,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor205,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.330034278784,\,-633.9456016940061,1656.3317314413766,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor239,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.936960960576,\,-634.1897447045848,1656.5974762808085,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor238,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.759212847375,\,-634.1131169977043,1656.4660764807659,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor204,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.129737944197,\,-633.880022799245,1656.158118528034,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor210,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.798031559563,\,-634.0608288346758,1656.7095513879199,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor172,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6496.478071987124,\,-634.3983006348687,1657.2422696526642,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor166,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6491.880264266658,\,-632.9368278828896,1654.3170070776778,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor199,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6494.041918465723,\,-633.5247950478179,1655.225455558466,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor170,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.19715910294,\,-634.014999411578,1656.505802751071,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor164,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6490.365467986398,\,-632.3577814594885,1653.13170178431,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor158,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6489.716259362039,\,-631.6176634117702,1651.879139361734,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor206,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.503535314079,\,-634.0002793772206,1656.4801385868645,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor212,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.660385396988,\,-633.9846458398121,1656.5800544785816,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
Beam_floor213,computer graphics,GAUSS Repository,Contact Simulation,1572,1572,6495.522893489556,\,-633.9229406913311,1656.4612509523386,25662,\,141,\,1.2,\,\,\,423,\,0.2,\,0.2
