Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
gargNested2_gargNested245,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,10.520197578147705,\,-3.4873922281929737,4.236813492929021,36954,\,27,\,144.06596956801437,\,\,\,648,\,21.565758049372516,\,21.565758049372516
gargNested2_gargNested251,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,11.628718772327062,\,-3.3413470999245853,4.118558713004007,36954,\,12,\,3.3197805127154627,\,\,\,288,\,0.8482057981427107,\,0.8482057981427107
gargNested2_floor186,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.5679545495452,\,-258.6351199055437,325.77815437987886,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor192,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.9833148522964,\,-258.70352893428907,325.8214561570646,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor179,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.1172854447561,\,-258.54983434037814,325.72195569874,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor145,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1097.7933340197549,\,-258.06526211012357,325.3757633355296,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor151,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1098.2219718663177,\,-258.2365018164899,325.52469697740656,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_falling69,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1000.9191387781124,\,-293.5250065803253,367.3645424908271,18477,\,3,\,2.0,\,\,\,36,\,0.8190540111635913,\,0.8190540111635913
gargNested2_falling41,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,996.6940492944018,\,-258.1930607636373,330.4964576467752,18477,\,2,\,2.0,\,\,\,24,\,0.5289389258621322,\,0.5289389258621322
gargNested2_falling55,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1002.0735317379624,\,-292.4564774538139,366.2146546951735,18477,\,3,\,2.0,\,\,\,36,\,0.8190540111635913,\,0.8190540111635913
gargNested2_floor233,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1103.7363535128766,\,-259.151713623952,326.0958994410619,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor227,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1103.353422557033,\,-259.09054689392286,326.06044381748137,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor20,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,994.062826226906,\,-396.89517039389006,462.3247321333531,18477,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
gargNested2_floor34,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,995.4754839758543,\,-419.0536977096675,486.9369110839213,18477,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
gargNested2_floor35,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,998.0786543972009,\,-420.7344215202248,488.8016566515359,18477,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
gargNested2_floor21,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,992.3127504203911,\,-398.56338930302826,464.13407474284173,18477,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
gargNested2_floor226,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1103.2889369277386,\,-259.08017255874546,326.0543445314345,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor232,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1103.6730057840584,\,-259.1416493948376,326.090127660096,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_falling54,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1001.1091982930029,\,-287.5044895542747,361.10110407921155,18477,\,2,\,2.0,\,\,\,24,\,0.5289389258621322,\,0.5289389258621322
gargNested2_falling40,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,996.4819212458193,\,-258.4406506824916,330.73387082190663,18477,\,2,\,2.0,\,\,\,24,\,0.5289389258621322,\,0.5289389258621322
gargNested2_falling68,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1000.850145250242,\,-293.1298851616488,366.97223521593816,18477,\,3,\,2.0,\,\,\,36,\,0.8190540111635913,\,0.8190540111635913
gargNested2_floor150,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1098.151524635523,\,-258.2252533393699,325.51756676358707,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor144,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1097.7209496996238,\,-258.0278857941281,325.3418936934459,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor178,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.052084745053,\,-258.5355044057695,325.7117257676839,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor193,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1101.0542354137187,\,-258.71573377754567,325.8294877531557,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor187,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.6315378597562,\,-258.64594858624423,325.7847904030254,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_gargNested250,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,11.59060807647565,\,-3.303121578646341,4.078889438982073,36954,\,12,\,3.3121611678737515,\,\,\,288,\,0.8460214581282346,\,0.8460214581282346
gargNested2_gargNested244,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,10.538156543422003,\,-3.575654313041571,4.331130400432129,36954,\,15,\,142.96253410019204,\,\,\,360,\,21.69856353432883,\,21.69856353432883
gargNested2_gargNested252,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,11.718373814005675,\,-3.4377706943699122,4.218711827986147,36954,\,12,\,3.366050218271526,\,\,\,288,\,0.8535531135850808,\,0.8535531135850808
gargNested2_gargNested246,computer graphics,GAUSS Repository,Contact Simulation,2070,2070,10.503675080054148,\,-3.4018901952661786,4.145168302589291,36954,\,21,\,139.26887757083983,\,\,\,504,\,21.492869286771963,\,21.492869286771963
gargNested2_floor191,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.9121940616317,\,-258.69147599937224,325.81357796126923,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor185,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1100.504180010414,\,-258.6242765539003,325.7715015599316,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor152,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1098.2920466721857,\,-258.241431924217,325.5253632324188,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor146,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1097.8656155181204,\,-258.1056999482822,325.41276193559133,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_falling56,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1002.6118675701962,\,-295.10579174125405,368.8911092854098,18477,\,3,\,2.0,\,\,\,36,\,0.8190540111635913,\,0.8190540111635913
gargNested2_falling42,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,996.7099909304076,\,-257.89633510729766,330.208389996311,18477,\,2,\,2.0,\,\,\,24,\,0.5289389258621322,\,0.5289389258621322
gargNested2_floor218,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1102.766173080049,\,-258.99624657452966,326.00453407009144,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
gargNested2_floor224,computer graphics,GAUSS Repository,Contact Simulation,1035,1035,1103.1593943360324,\,-259.05931162763443,326.04202588844544,18477,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
