Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
test05_19,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999991,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test02_10,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.995513,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test05_9,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.991046,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_8,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.982172,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test05_18,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999982,1.0,185,125,60,7.999999879999999,1.0,\,\,2196,1890,1.0,0.818731,-1.0,1.36035e-06
test02_11,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.997754,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_13,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.999438,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_12,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.998876,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test02_16,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.99993,1.0,185,125,\,7.999999879999999,\,\,\,2196,\,1.0,\,-1.0,\
test03_9,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.991046,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
test03_8,robotics,MPC Library,Model Predictive Control,185,185,1.0,\,0.982172,1.0,185,125,120,7.999999879999999,1.0,\,\,2196,120,1.0,1.0,-1.0,-1.0
