,Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min,Unnamed: 0
0,Cube_floor272,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98869758188522,\,-23.824827534925266,28.468193879571672,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
1,Cube_floor514,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9840626805896,\,-23.83743463548758,28.46819491198502,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
2,Cube_floor500,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98433459185472,\,-23.836706869483038,28.468194852222876,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
3,Cube_floor266,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9888107361822,\,-23.824514230408568,28.468193853991,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
4,Cube_floor299,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98818733321957,\,-23.82623696724407,28.468193994692758,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
5,Cube_floor63,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99258891587633,\,-23.813893245089982,28.468192989014568,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
6,Cube_floor77,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99233148320357,\,-23.814627026690157,28.468193048638053,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
7,Cube_floor88,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99212888919814,\,-23.815203434318203,28.468193095487944,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
8,Cube_floor4,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9815276461483,\,-23.81243562497812,28.456630951211423,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
9,Cube_floor104,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99183369573626,\,-23.816041633236452,28.468193163638524,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
10,Cube_floor110,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99172284197132,\,-23.81635589299329,28.468193189196807,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
11,Cube_floor138,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.99120439769956,\,-23.81782197090963,28.468193308477854,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
12,Cube_floor306,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98805476490605,\,-23.826602258599596,28.468194024540644,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
13,Cube_floor460,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98510892583462,\,-23.834626475071694,28.468194681496,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
14,Cube_floor474,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98483833958892,\,-23.835354792243123,28.468194741248194,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
15,Cube_floor312,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.9879410426304,\,-23.826915327124386,28.46819405012574,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
16,Cube_floor448,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98534048778737,\,-23.834002049704704,28.46819463028431,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
17,Cube_floor449,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98532120398917,\,-23.834054090564145,28.46819463455383,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
18,Cube_floor475,computer graphics,GAUSS Repository,Contact Simulation,24.0,24.0,133.98481899422046,\,-23.83540680751675,28.46819474551245,219.0,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2,
