Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
arma1_arma8,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.495136212679208,\,-1.9862616962692972,2.5570367199820074,338718,\,87,\,69.24142147333062,\,\,\,2088,\,13.086948287078792,\,13.086948287078792
arma1_arma9,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.507230136512911,\,-1.9848884013940356,2.560328697801756,338718,\,57,\,69.41091077323843,\,\,\,1368,\,13.285633326334146,\,13.285633326334146
arma1_arma14,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.550483300172038,\,-1.9742778040127371,2.5713767880035245,338718,\,129,\,57.52516205136943,\,\,\,3096,\,15.532751615591433,\,15.532751615591433
arma1_arma15,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.549691805564768,\,-1.9724132893700481,2.571383788792603,338718,\,87,\,57.66158704232829,\,\,\,2088,\,15.53229555675153,\,15.53229555675153
arma1_arma11,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.531748290843959,\,-1.981082231724134,2.5666291421598064,338718,\,174,\,60.533002711596275,\,\,\,4176,\,15.505974722237585,\,15.505974722237585
arma1_arma10,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.519922292451966,\,-1.9831450575200764,2.563639443497105,338718,\,123,\,3.3963653193853425,\,\,\,2952,\,0.9700241916016732,\,0.9700241916016732
arma1_arma12,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.541354452750548,\,-1.9788057565158232,2.56901372109866,338718,\,180,\,58.356053054049674,\,\,\,4320,\,15.52605098700585,\,15.52605098700585
arma1_arma13,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.547750619067896,\,-1.976473663924546,2.570612721840015,338718,\,102,\,56.94742081608804,\,\,\,2448,\,15.533390803198499,\,15.533390803198499
arma1_arma7,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.484907903457234,\,-1.9872627399850453,2.554097651233111,338718,\,144,\,69.1537598581601,\,\,\,3456,\,12.964157115330652,\,12.964157115330652
arma1_arma6,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.477311452937824,\,-1.9879279316746084,2.5517659120508096,338718,\,132,\,69.04850734910521,\,\,\,3168,\,12.920047603162557,\,12.920047603162557
arma1_arma4,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.469843601527904,\,-1.9885222519667625,2.5491988155147247,338718,\,186,\,3.3593497125070124,\,\,\,4464,\,0.9811660987747081,\,0.9811660987747081
arma1_arma5,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.472448929413854,\,-1.9883215732221904,2.5501508363651677,338718,\,186,\,68.9152315957843,\,\,\,4464,\,12.892273296662637,\,12.892273296662637
arma1_arma1,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.468301354471777,\,-1.9886392255773568,2.548525925294082,338718,\,165,\,68.56086317356164,\,\,\,3960,\,7.192806473262505,\,7.192806473262505
arma1_arma0,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.46829469021256,\,-1.9886398779433718,2.5485202670357316,338718,\,156,\,68.81011866862723,\,\,\,3744,\,12.465236982649516,\,12.465236982649516
arma1_arma2,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.468373650670436,\,-1.9886333436820007,2.548569121485994,338718,\,156,\,68.55467797436307,\,\,\,3744,\,7.194095110019274,\,7.194095110019274
arma1_arma3,computer graphics,GAUSS Repository,Contact Simulation,19158,19158,10.468727756119346,\,-1.9886063452661915,2.5487394180758427,338718,\,138,\,68.46054379909937,\,\,\,3312,\,7.213886036754418,\,7.213886036754418
