Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
Cube_floor272,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98869758188522,\,-23.824827534925262,28.468193879571672,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor514,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9840626805896,\,-23.83743463548758,28.46819491198502,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor500,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9843345918547,\,-23.836706869483038,28.468194852222876,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor266,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9888107361822,\,-23.824514230408564,28.468193853990993,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor299,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98818733321957,\,-23.82623696724407,28.468193994692758,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor63,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99258891587633,\,-23.813893245089982,28.468192989014565,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor77,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99233148320357,\,-23.814627026690157,28.468193048638046,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor88,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99212888919814,\,-23.815203434318203,28.46819309548794,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor4,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98152764614827,\,-23.812435624978118,28.456630951211423,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor104,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99183369573626,\,-23.816041633236456,28.468193163638524,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor110,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99172284197132,\,-23.816355892993293,28.468193189196803,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor138,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.99120439769956,\,-23.81782197090963,28.468193308477858,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor306,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98805476490605,\,-23.826602258599593,28.468194024540644,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor460,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98510892583462,\,-23.834626475071694,28.468194681496,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor474,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9848383395889,\,-23.835354792243123,28.46819474124819,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor312,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9879410426304,\,-23.826915327124382,28.46819405012574,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor448,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98534048778737,\,-23.834002049704704,28.468194630284312,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor449,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98532120398917,\,-23.834054090564145,28.46819463455383,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor475,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98481899422046,\,-23.83540680751675,28.46819474551245,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor313,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98792208064296,\,-23.82696750177034,28.46819405439055,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor307,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98803581711599,\,-23.82665443914513,28.468194028805765,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor461,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.98508961363135,\,-23.834678504124003,28.468194685764008,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor139,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9911858475149,\,-23.817874316589094,28.468193312738432,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
Cube_floor111,computer graphics,GAUSS Repository,Contact Simulation,24,24,133.9917043580549,\,-23.816408266180996,28.4681931934559,219,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
