Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
garg_floor78,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,873.5664765473138,\,-141.81935267505918,239.3553154072313,266544,\,4,\,1.2,\,\,\,12,\,0.2,\,0.2
garg_floor50,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,875.4991581531079,\,-141.84135361480568,239.76724460525122,266544,\,19,\,1.2,\,\,\,57,\,0.2,\,0.2
garg2_garg27,computer graphics,GAUSS Repository,Contact Simulation,28638,28638,8.347676592764417,\,-1.810420897668892,2.1662921061985156,533088,\,636,\,134.31257465738258,\,\,\,15264,\,31.57955540186349,\,31.57955540186349
garg_floor44,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,876.9357461901077,\,-126.38173359769135,239.58834233077712,266544,\,2,\,1.2,\,\,\,6,\,0.2,\,0.2
garg_floor87,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,874.0508744630429,\,-148.64826055357386,238.29231915186247,266544,\,8,\,1.2,\,\,\,24,\,0.2,\,0.2
garg_floor86,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,874.3357719118666,\,-147.50791091328793,238.3867928613692,266544,\,10,\,1.2,\,\,\,30,\,0.2,\,0.2
garg_floor45,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,875.8230591828192,\,-128.8237743212997,239.88583297615247,266544,\,2,\,1.2,\,\,\,6,\,0.2,\,0.2
garg2_garg26,computer graphics,GAUSS Repository,Contact Simulation,28638,28638,8.31936839209433,\,-1.8076686788116254,2.163031088131775,533088,\,618,\,134.0843296436127,\,\,\,14832,\,31.74248545094666,\,31.74248545094666
garg_floor51,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,876.3710715028153,\,-144.66968643793925,239.28607262083645,266544,\,17,\,1.2,\,\,\,51,\,0.2,\,0.2
garg_floor79,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,873.9669213944387,\,-141.94408844435927,239.24967740859682,266544,\,11,\,1.2,\,\,\,33,\,0.2,\,0.2
garg2_garg24,computer graphics,GAUSS Repository,Contact Simulation,28638,28638,8.285916121761442,\,-1.8054663648355627,2.1575406947702613,533088,\,438,\,131.9794952761142,\,\,\,10512,\,32.766837648257216,\,32.766837648257216
garg_floor47,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,871.384236335165,\,-133.6794513831233,240.18656026412873,266544,\,12,\,1.2,\,\,\,36,\,0.2,\,0.2
garg_floor53,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,883.2217868422241,\,-149.56875112421125,240.7849719271515,266544,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
garg_floor84,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,874.1153808626298,\,-145.32676525966298,238.54848623595186,266544,\,14,\,1.2,\,\,\,42,\,0.2,\,0.2
garg_floor85,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,874.3702253947342,\,-146.398710830565,238.47344211949735,266544,\,13,\,1.2,\,\,\,39,\,0.2,\,0.2
garg_floor52,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,878.9691748396186,\,-147.31413603788687,238.8465821703258,266544,\,51,\,1.2,\,\,\,153,\,0.2,\,0.2
garg_floor46,computer graphics,GAUSS Repository,Contact Simulation,14319,14319,873.8838681554523,\,-131.21209176585978,240.0763122909158,266544,\,3,\,1.2,\,\,\,9,\,0.2,\,0.2
