Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
knight_knight3,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983969262977176,\,-1.0756814740801706,1.8201327640780638,255528,\,57,\,192.22869852535496,\,\,\,1368,\,53.84678479867574,\,53.84678479867574
knight_knight2,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983985065341706,\,-1.0756460960224088,1.820132070841619,255528,\,75,\,230.50143809847495,\,\,\,1800,\,55.418861722591636,\,55.418861722591636
knight_knight0,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983988124303547,\,-1.075636634377839,1.8201319809988075,255528,\,30,\,226.89471538544095,\,\,\,720,\,47.13653607558663,\,47.13653607558663
knight_knight1,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983987925091978,\,-1.0756371512405525,1.820131985831569,255528,\,48,\,227.92017950438523,\,\,\,1152,\,49.42967430587395,\,49.42967430587395
knight_knight5,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983787067021422,\,-1.0757302954512729,1.820149785107374,255528,\,60,\,187.97858881528794,\,\,\,1440,\,58.89598884640728,\,58.89598884640728
knight_knight4,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983916569589943,\,-1.0757391708189665,1.820136348406854,255528,\,36,\,189.02149602621415,\,\,\,864,\,58.938948304085955,\,58.938948304085955
knight_knight6,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983525969293829,\,-1.0757059255199084,1.8201890944545571,255528,\,108,\,185.32664269003575,\,\,\,2592,\,58.65432050124461,\,58.65432050124461
knight_knight7,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.983064294182531,\,-1.0757199681950984,1.8202830222992727,255528,\,165,\,206.03076126511934,\,\,\,3960,\,80.3114046018449,\,80.3114046018449
knight_falling0,computer graphics,GAUSS Repository,Contact Simulation,7425,7425,697.7552934500937,\,-107.60255393402771,181.3479698985235,127764,\,34,\,1.2,\,\,\,102,\,0.2,\,0.2
knight_knight18,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.085652069926026,\,-1.07921680959798,1.831834282784755,255528,\,222,\,127.17385569742657,\,\,\,5328,\,35.32591755772239,\,35.32591755772239
knight_knight19,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.108643951139945,\,-1.0803123915716941,1.8353711451467192,255528,\,654,\,278.6695534960801,\,\,\,15696,\,77.91569858201483,\,77.91569858201483
knight_falling1,computer graphics,GAUSS Repository,Contact Simulation,7425,7425,698.4360622661314,\,-120.13059363902249,184.22351909842433,127764,\,131,\,1.2,\,\,\,393,\,0.2,\,0.2
knight_knight17,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.064319610536118,\,-1.0779483516072985,1.829220739874222,255528,\,312,\,242.81425822551245,\,\,\,7488,\,63.89007561633523,\,63.89007561633523
knight_knight16,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.045972500743962,\,-1.076366182913547,1.8273246411683468,255528,\,300,\,243.1121865588668,\,\,\,7200,\,77.64105368912335,\,77.64105368912335
knight_knight14,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.018971616941509,\,-1.074434706768563,1.824741165100645,255528,\,270,\,236.5847715944425,\,\,\,6480,\,78.44220346336569,\,78.44220346336569
knight_knight15,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.030065674555382,\,-1.0748662081467046,1.825900865185757,255528,\,231,\,276.01595549460137,\,\,\,5544,\,78.02738414658548,\,78.02738414658548
knight_knight11,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.9944932416110595,\,-1.0747343625894008,1.8219675992253546,255528,\,234,\,221.6871573285757,\,\,\,5616,\,81.61970422971264,\,81.61970422971264
knight_knight10,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.9890255243891195,\,-1.0751399055981397,1.821296642828404,255528,\,240,\,228.85229290136607,\,\,\,5760,\,81.73289789419367,\,81.73289789419367
knight_knight12,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.00136990714663,\,-1.074380189479039,1.822787283056824,255528,\,240,\,261.0014871939422,\,\,\,5760,\,80.01030243069737,\,80.01030243069737
knight_knight13,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,7.009498301481164,\,-1.0742363371217911,1.8237175396843208,255528,\,213,\,235.8703551963203,\,\,\,5112,\,80.87691299146593,\,80.87691299146593
knight_knight9,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.985191995457013,\,-1.0754693703276494,1.82079956578949,255528,\,162,\,249.8143721845924,\,\,\,3888,\,81.44609958538355,\,81.44609958538355
knight_knight8,computer graphics,GAUSS Repository,Contact Simulation,14850,14850,6.9830462121732415,\,-1.0756596784666688,1.8204720437223074,255528,\,159,\,203.14119133573746,\,\,\,3816,\,80.92370699575014,\,80.92370699575014
