Problem name,Problem category,Problem source,Application,Number of variables,QP dimension,QP norm (order = infty),QP condition (2-norm),QP min,QP max,QP nonzeros,Number of equality constraints,Number of inequality constraints,equality norm (order = infty),inequality norm (order = infty),equality condition number (2-norm),inequality condition number (2-nrom),equality nonzeros,inequality nonzeros,equality max,inequality max,equality min,inequality min
LISWET1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
QPTEST,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2,2,12.0,\,2.0,10.0,3,\,4,\,3.0,\,\,\,6,\,2.0,\,2.0
HS118,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,15,15,0.0003,\,0.0002,0.0003,15,\,32,\,3.0,\,\,\,54,\,1.0,\,1.0
LISWET3,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
LISWET2,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
HS53,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,5,5,6.0,\,-2.0,4.0,7,3,5,4.0,1.0,\,\,7,5,3.0,1.0,-2.0,1.0
TAME,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2,2,4.0,\,-2.0,2.0,3,1,2,2.0,1.0,\,\,2,2,1.0,1.0,1.0,1.0
LISWET6,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
LISWET7,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
HS52,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,5,5,32.0,\,-8.0,32.0,7,3,\,4.0,\,\,\,7,\,3.0,\,-2.0,\
POWELL20,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10000,10000,1.0,\,1.0,1.0,10000,\,10000,\,2.0,\,\,\,20000,\,1.0,\,1.0
HS268,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,5,5,66726.0,\,-24908.0,41818.0,15,\,5,\,32.0,\,\,\,25,\,10.0,\,10.0
QPCSTAIR,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,467,467,20.0,\,2.0,20.0,467,291,526,34.47867,16.0,\,\,1456,2861,9.85263,5.13398,-3.0,5.13398
LISWET5,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
LISWET4,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
HS51,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,5,5,6.0,\,-2.0,4.0,7,3,\,4.0,\,\,\,7,\,3.0,\,-2.0,\
AUG3DCQP,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,3873,3873,1.0,\,1.0,1.0,3873,1000,3873,9.0,1.0,\,\,6546,3873,1.0,1.0,-1.0,1.0
LISWET10,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
GENHS28,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10,10,6.0,\,2.0,4.0,19,8,\,6.0,\,\,\,24,\,3.0,\,1.0,\
LISWET11,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
CONT-050,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2597,2597,0.0004,\,0.0002,0.0004,2597,2401,2597,8.0,1.0,\,\,12005,2597,4.0,1.0,-1.0,1.0
HS35,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,3,3,6.0,\,2.0,4.0,5,\,4,\,4.0,\,\,\,6,\,1.0,\,1.0
HS21,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,2,2,2.0,\,0.02,2.0,2,\,3,\,11.0,\,\,\,4,\,10.0,\,10.0
HUESTIS,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10000,10000,2.0,\,2.0,2.0,10000,2,10000,0.3333333778178991,1.0,\,\,20000,10000,9.999e-05,1.0,2e-21,1.0
DUALC1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,9,9,7394224.0,\,-2306620.0,5200790.0,45,1,223,9.0,18212.0,\,\,9,1935,1.0,2059.0,1.0,2059.0
LISWET12,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,10002,10002,1.0,\,1.0,1.0,10002,\,10000,\,4.0,\,\,\,30000,\,1.0,\,1.0
DUALC5,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,8,8,89717.0,\,-19349.0,54824.0,36,1,285,8.0,4800.0,\,\,8,2224,1.0,600.0,1.0,600.0
QPCBOEI2,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,143,143,20.0,\,2.0,20.0,143,4,305,3033.79936,3402.3596999999995,\,\,56,1283,3000.0,356.554,0.8063,356.554
AUG2DCQP,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,20200,20200,1.0,\,1.0,1.0,20200,10000,20200,4.0,1.0,\,\,40000,20200,1.0,1.0,-1.0,1.0
QPCBOEI1,Maros-Meszaros,Maros-Meszaros,Maros-Meszaros,384,384,20.0,\,2.0,20.0,384,9,726,216.61759,68782.2881,\,\,168,3701,16.2762,3102.58,-1.0,3102.58
