Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ,cube_floor100,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.0102963,4,1.28954e-11,7.40177e-10,-7.53618,-2.00316e-13,-7.53618,0,3.90207e-13,contact simulation,computer graphics,
NASOQ,cube_floor101,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00884534,4,1.28951e-11,2.13691e-09,-7.61099,-2.00314e-13,-7.61099,0,3.90203e-13,contact simulation,computer graphics,
NASOQ,cube_floor102,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.008426,4,1.2895e-11,1.92804e-09,-7.68616,-2.00314e-13,-7.68616,0,3.90198e-13,contact simulation,computer graphics,
NASOQ,cube_floor103,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00962976,4,1.28951e-11,1.62034e-09,-7.76169,-2.00312e-13,-7.76169,0,3.90198e-13,contact simulation,computer graphics,
NASOQ,cube_floor104,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00828671,4,1.28951e-11,3.76231e-10,-7.8376,-2.00324e-13,-7.8376,0,3.90211e-13,contact simulation,computer graphics,
NASOQ,cube_floor105,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.0086927,4,1.28951e-11,3.75605e-09,-7.91388,-2.00318e-13,-7.91388,0,3.90207e-13,contact simulation,computer graphics,
NASOQ,cube_floor106,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00713437,4,1.28951e-11,4.19644e-09,-7.99053,-2.0032e-13,-7.99053,0,3.90207e-13,contact simulation,computer graphics,
NASOQ,cube_floor107,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00735258,4,1.28952e-11,1.32921e-09,-8.06754,-2.00307e-13,-8.06754,0,3.90198e-13,contact simulation,computer graphics,
NASOQ,cube_floor108,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00998912,4,1.2895e-11,8.75445e-10,-8.14493,-2.00316e-13,-8.14493,0,3.90203e-13,contact simulation,computer graphics,
NASOQ,cube_floor109,24,219,0,0,4,12,8,0.001,0,0,1e-15,1e-09,1,4,0.00714438,4,1.28951e-11,1.87348e-09,-8.22269,-2.00318e-13,-8.22269,0,3.90203e-13,contact simulation,computer graphics,
