Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ,gargnested2_falling0,1035,18477,0,0,1,12,8,1e-06,0,0,1e-15,1e-09,1,1,0.0437544,1,0,9.3392e-13,-1785.92,-5.01165e-14,-1785.92,0,5.01165e-14,contact simulation,computer graphics,
NASOQ,gargnested2_falling10,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,1,0.0485476,1,0,1.44773e-12,-1370.35,0,-1370.35,0,0,contact simulation,computer graphics,
NASOQ,gargnested2_falling11,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,1,0.0470187,1,4.44089e-16,7.69163e-13,-1396.07,9.53906e-16,-1396.07,0,9.53906e-16,contact simulation,computer graphics,
NASOQ,gargnested2_falling12,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,1,0.0490629,1,0,8.62865e-13,-1421.93,0,-1421.93,0,0,contact simulation,computer graphics,
NASOQ,gargnested2_falling13,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,1,0.0465278,1,0,7.78266e-13,-1448.13,-1.38684e-15,-1448.13,0,1.38684e-15,contact simulation,computer graphics,
NASOQ,gargnested2_falling14,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,1,0.0485663,1,0,1.04405e-12,-1474.67,-7.01533e-16,-1474.67,0,7.01533e-16,contact simulation,computer graphics,
NASOQ,gargnested2_falling15,1035,18477,0,0,4,48,8,1e-06,0,0,1e-15,1e-09,1,2,0.0492298,2,0,7.87814e-13,-1487.55,-3.6607e-10,-1487.55,0,3.6607e-10,contact simulation,computer graphics,
NASOQ,gargnested2_falling16,1035,18477,0,0,4,48,8,1e-06,0,0,1e-15,1e-09,1,2,0.050767,2,0,1.08447e-12,-1495.61,-5.23444e-10,-1495.61,0,5.23441e-10,contact simulation,computer graphics,
NASOQ,gargnested2_falling17,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,2,0.056826,2,0,8.31779e-13,-1512.88,-5.29902e-10,-1512.88,0,5.29901e-10,contact simulation,computer graphics,
NASOQ,gargnested2_falling18,1035,18477,0,0,3,36,8,1e-06,0,0,1e-15,1e-09,1,2,0.0556953,2,0,1.16085e-12,-1536.85,-3.96835e-10,-1536.85,0,3.96833e-10,contact simulation,computer graphics,
