Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ,knight_falling0,7425,127764,0,0,34,102,8,1e-06,0,0,1e-15,1e-09,1,31,0.265411,27,1.20328e-08,1.6861e-07,-1016.02,1.14535e-07,-1016.02,0,4.38449e-08,contact simulation,computer graphics,
NASOQ,knight_falling1,7425,127764,0,0,131,393,8,1e-06,0,0,1e-15,1e-09,1,64,0.461854,62,1.81398e-08,6.28303e-08,-616.947,3.03903e-07,-616.947,0,9.18586e-08,contact simulation,computer graphics,
NASOQ,knight_knight0,14850,255528,0,0,30,720,8,1e-06,0,0,1e-15,1e-09,1,23,0.400299,19,7.28164e-11,4.83107e-07,-665.257,-5.61916e-13,-665.257,0,5.53783e-12,contact simulation,computer graphics,
NASOQ,knight_knight10,14850,255528,0,0,240,5760,8,1e-06,0,0,1e-15,1e-09,1,86,1.09562,62,3.90862e-10,9.66916e-07,-574.972,-7.43762e-11,-574.972,0,8.38083e-11,contact simulation,computer graphics,
NASOQ,knight_knight11,14850,255528,0,0,234,5616,8,1e-06,0,0,1e-15,1e-09,2,71,1.04675,65,4.69509e-10,1.00372e-06,-555.609,8.05298e-12,-555.609,0,9.20387e-11,contact simulation,computer graphics,
NASOQ,knight_knight12,14850,255528,0,0,240,5760,8,1e-06,0,0,1e-15,1e-09,2,84,0.83359,68,6.04388e-10,1.28644e-06,-535.513,-5.85241e-11,-535.513,1.38778e-17,1.08706e-10,contact simulation,computer graphics,
NASOQ,knight_knight13,14850,255528,0,0,213,5112,8,1e-06,0,0,1e-15,1e-09,2,88,0.956318,68,8.18095e-10,1.75837e-06,-514.46,7.39316e-11,-514.46,3.46945e-18,6.19725e-11,contact simulation,computer graphics,
NASOQ,knight_knight14,14850,255528,0,0,270,6480,8,1e-06,0,0,1e-15,1e-09,2,92,1.51259,80,4.99577e-10,0.000120076,-492.318,1.38022e-10,-492.318,0,5.52613e-11,contact simulation,computer graphics,
NASOQ,knight_knight15,14850,255528,0,0,231,5544,8,1e-06,0,0,1e-15,1e-09,1,115,1.32056,79,4.20714e-10,5.24898e-07,-471.147,1.3847e-10,-471.147,0,3.8593e-11,contact simulation,computer graphics,
NASOQ,knight_knight16,14850,255528,0,0,300,7200,8,1e-06,0,0,1e-15,1e-09,2,110,1.29244,82,2.13739e-10,5.33674e-05,-451.15,3.73887e-11,-451.15,0,4.19574e-11,contact simulation,computer graphics,
NASOQ,knight_knight17,14850,255528,0,0,312,7488,8,1e-06,0,0,1e-15,1e-09,2,95,1.07421,77,5.90708e-10,1.13837e-06,-432.101,1.31115e-10,-432.101,0,5.1603e-11,contact simulation,computer graphics,
NASOQ,knight_knight18,14850,255528,0,0,222,5328,8,1e-06,0,0,1e-15,1e-09,1,78,1.07847,66,7.06136e-10,8.01735e-07,-417.891,2.4084e-10,-417.891,0,5.60469e-11,contact simulation,computer graphics,
NASOQ,knight_knight19,14850,255528,0,0,654,15696,8,1e-06,0,0,1e-15,1e-09,2,292,3.47394,188,3.06499e-08,0.0147447,-396.413,-3.29138e-07,-396.413,8.67362e-19,1.04924e-07,contact simulation,computer graphics,
NASOQ,knight_knight1,14850,255528,0,0,48,1152,8,1e-06,0,0,1e-15,1e-09,2,38,0.501262,30,8.25611e-11,1.22284e-06,-658.503,2.04828e-12,-658.503,0,1.27069e-11,contact simulation,computer graphics,
NASOQ,knight_knight2,14850,255528,0,0,75,1800,8,1e-06,0,0,1e-15,1e-09,2,50,0.72114,38,2.42264e-10,1.46381e-06,-645.657,4.16751e-11,-645.657,0,4.03139e-11,contact simulation,computer graphics,
NASOQ,knight_knight3,14850,255528,0,0,57,1368,8,1e-06,0,0,1e-15,1e-09,2,25,0.376234,23,1.68945e-10,2.19861e-06,-638.065,4.62034e-12,-638.065,1.73472e-18,3.45665e-11,contact simulation,computer graphics,
NASOQ,knight_knight4,14850,255528,0,0,36,864,8,1e-06,0,0,1e-15,1e-09,1,14,0.322508,14,2.38664e-10,6.55032e-15,-633.11,7.37407e-11,-633.11,0,6.6079e-11,contact simulation,computer graphics,
NASOQ,knight_knight5,14850,255528,0,0,60,1440,8,1e-06,0,0,1e-15,1e-09,1,20,0.32854,18,1.28117e-10,8.01522e-08,-634.166,5.1589e-12,-634.166,0,7.83598e-12,contact simulation,computer graphics,
NASOQ,knight_knight6,14850,255528,0,0,108,2592,8,1e-06,0,0,1e-15,1e-09,2,47,0.64602,41,3.43441e-10,1.3654e-06,-623.867,2.4552e-11,-623.867,0,7.66038e-12,contact simulation,computer graphics,
NASOQ,knight_knight7,14850,255528,0,0,165,3960,8,1e-06,0,0,1e-15,1e-09,1,57,0.654358,51,3.0314e-10,5.60379e-07,-614.979,3.16103e-11,-614.979,0,1.29022e-11,contact simulation,computer graphics,
NASOQ,knight_knight8,14850,255528,0,0,159,3816,8,1e-06,0,0,1e-15,1e-09,1,48,0.669825,40,2.94629e-10,9.57402e-07,-603.9,-5.24512e-11,-603.9,3.46945e-18,4.68493e-11,contact simulation,computer graphics,
NASOQ,knight_knight9,14850,255528,0,0,162,3888,8,1e-06,0,0,1e-15,1e-09,1,68,0.819565,52,3.80787e-10,5.64199e-07,-592.911,-8.36894e-11,-592.911,0,7.1278e-11,contact simulation,computer graphics,
