Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ,aug2dcqp,20200,20200,10000,40000,20200,20200,8,1e-06,0,0,1e-15,1e-09,3,410,4.13748,206,2.78341e-06,0.000114613,6.48806e+06,-0.743313,6.48806e+06,2.22045e-16,0.00734166,maros-meszaros,maros-meszaros,
NASOQ,aug2dc,20200,20200,10000,40000,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.250577,0,7.50356e-07,2.30926e-13,1.80827e+06,0,1.80827e+06,0,0,maros-meszaros,maros-meszaros,
NASOQ,aug3dcqp,3873,3873,1000,6546,3873,3873,8,1e-06,0,0,1e-15,1e-09,1,540,1.84663,540,7.13847e-09,2.57572e-14,-943.138,-1.83082e-06,-943.138,0,2.25307e-08,maros-meszaros,maros-meszaros,
NASOQ,aug3dc,3873,3873,1000,6546,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0697164,0,4.64324e-09,7.77156e-16,-1165.24,0,-1165.24,0,0,maros-meszaros,maros-meszaros,
NASOQ,cont-050,2597,2597,2401,12005,5194,5194,8,1e-06,0,0,1e-15,1e-09,2,1,0.141914,1,1.32201e-08,8.18213e-05,-4.56385,0,-4.56385,0,0,maros-meszaros,maros-meszaros,
NASOQ,cont-100,10197,10197,9801,49005,20394,20394,8,1e-06,0,0,1e-15,1e-09,2,1,0.460725,1,5.5926e-07,0.000518842,-4.64438,0,-4.64438,0,0,maros-meszaros,maros-meszaros,
NASOQ,cont-200,40397,40397,39601,198005,80794,80794,8,1e-06,0,0,1e-15,1e-09,2,1,1.73432,1,5.03902e-07,0.00147088,-4.68478,0,-4.68478,0,0,maros-meszaros,maros-meszaros,
NASOQ,cont-201,40397,40397,40198,199199,80794,80794,8,1e-06,0,0,1e-15,1e-09,3,30,4.655,2,3.30621e-05,0.00057027,0.192962,1.86858e-12,0.192962,0,1.86858e-12,maros-meszaros,maros-meszaros,
NASOQ,dual1,85,3558,1,85,170,170,8,1e-06,0,0,1e-15,1e-09,1,22,0.0251751,22,3.80282e-11,4.656e-15,0.035013,-8.61925e-13,0.035013,0,2.55349e-13,maros-meszaros,maros-meszaros,
NASOQ,dual2,96,4508,1,96,192,192,8,1e-06,0,0,1e-15,1e-09,1,4,0.0175257,4,3.59968e-11,1.33921e-15,0.0337337,4.30002e-15,0.0337337,0,5.91461e-14,maros-meszaros,maros-meszaros,
NASOQ,dual3,111,6108,1,111,222,222,8,1e-06,0,0,1e-15,1e-09,1,14,0.0264347,14,1.45848e-10,5.96745e-15,0.135756,2.20063e-12,0.135756,0,1.41864e-12,maros-meszaros,maros-meszaros,
NASOQ,dual4,75,2799,1,75,150,150,8,1e-06,0,0,1e-15,1e-09,1,13,0.0187018,13,8.3872e-10,5.9952e-15,0.746091,1.00897e-10,0.746091,0,7.04082e-11,maros-meszaros,maros-meszaros,
NASOQ,dualc1,9,45,1,9,232,1944,8,1e-06,0,0,1e-15,1e-09,3,46,0.0295689,6,0.00010244,824.143,8475.08,-2322.81,6152.28,1.13687e-13,2316.65,maros-meszaros,maros-meszaros,
NASOQ,dualc5,8,36,1,8,293,2232,8,1e-06,0,0,1e-15,1e-09,1,3,0.0100706,3,4.60065e-07,1.1332e-07,427.232,4.38961e-05,427.233,0,0.000111433,maros-meszaros,maros-meszaros,
NASOQ,genhs28,10,19,8,24,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.00631476,0,2.98164e-10,2.22045e-16,0.927174,0,0.927174,0,0,maros-meszaros,maros-meszaros,
NASOQ,hs118,15,15,0,0,59,93,8,1e-06,0,0,1e-15,1e-09,2,23,0.0115581,15,5.39835e-12,0.000223683,664.82,-5.12347e-09,664.82,0,2.13714e-09,maros-meszaros,maros-meszaros,
NASOQ,hs21,2,2,0,0,5,6,8,1e-06,0,0,1e-15,1e-09,1,3,0.00672217,1,0,4.33681e-19,0.04,0,0.04,0,0,maros-meszaros,maros-meszaros,
NASOQ,hs268,5,15,0,0,5,25,8,1e-06,0,0,1e-15,1e-09,1,0,0.00645064,0,0,4.26326e-13,-14463,0,-14463,0,0,maros-meszaros,maros-meszaros,
NASOQ,hs35mod,3,5,1,1,3,5,8,1e-06,0,0,1e-15,1e-09,1,0,0.00610651,0,1e-09,4.44089e-16,-8.75,0,-8.75,0,0,maros-meszaros,maros-meszaros,
NASOQ,hs35,3,5,0,0,4,6,8,1e-06,0,0,1e-15,1e-09,1,1,0.00677674,1,0,2.22045e-16,-8.88889,0,-8.88889,0,0,maros-meszaros,maros-meszaros,
