Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ,test01_0,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0202065,0,2.26912e-08,4.02456e-14,11.3456,0,11.3456,0,0,model predictive control,robotics,
NASOQ,test01_10,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0187229,0,1.28562e-08,1.48046e-07,5.00632,0,5.00632,0,0,model predictive control,robotics,
NASOQ,test01_11,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.017852,0,1.1949e-08,3.70698e-08,4.54745,0,4.54745,0,0,model predictive control,robotics,
NASOQ,test01_12,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0178466,0,1.10692e-08,5.95869e-08,4.11372,0,4.11372,0,0,model predictive control,robotics,
NASOQ,test01_13,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0176825,0,1.02192e-08,5.50753e-08,3.7064,0,3.7064,0,0,model predictive control,robotics,
NASOQ,test01_14,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0178017,0,9.40115e-09,7.92358e-08,3.32655,0,3.32655,0,0,model predictive control,robotics,
NASOQ,test01_15,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0181911,0,8.61676e-09,3.55393e-08,2.97486,0,2.97486,0,0,model predictive control,robotics,
NASOQ,test01_16,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0180864,0,7.8673e-09,1.15481e-07,2.65167,0,2.65167,0,0,model predictive control,robotics,
NASOQ,test01_17,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0178265,0,7.15369e-09,9.61852e-08,2.35689,0,2.35689,0,0,model predictive control,robotics,
NASOQ,test01_18,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0180251,0,6.47647e-09,7.25199e-08,2.09003,0,2.09003,0,0,model predictive control,robotics,
NASOQ,test01_19,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0173416,0,5.83583e-09,1.45851e-07,1.85027,0,1.85027,0,0,model predictive control,robotics,
NASOQ,test01_1,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0177464,0,2.16916e-08,2.40512e-09,10.424,0,10.424,0,0,model predictive control,robotics,
NASOQ,test01_2,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0187817,0,2.06911e-08,6.12809e-09,9.62579,0,9.62579,0,0,model predictive control,robotics,
NASOQ,test01_3,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0178121,0,1.96892e-08,2.02275e-08,8.91318,0,8.91318,0,0,model predictive control,robotics,
NASOQ,test01_4,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0195911,0,1.86872e-08,7.17016e-08,8.26048,0,8.26048,0,0,model predictive control,robotics,
NASOQ,test01_5,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0180697,0,1.76878e-08,2.55914e-08,7.65075,0,7.65075,0,0,model predictive control,robotics,
NASOQ,test01_6,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.017766,0,1.66943e-08,4.8165e-08,7.07336,0,7.07336,0,0,model predictive control,robotics,
NASOQ,test01_7,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0168191,0,1.57106e-08,5.42196e-08,6.52225,0,6.52225,0,0,model predictive control,robotics,
NASOQ,test01_8,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0153617,0,1.47404e-08,2.37035e-08,5.99443,0,5.99443,0,0,model predictive control,robotics,
NASOQ,test01_9,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0152983,0,1.37878e-08,5.15859e-08,5.48899,0,5.48899,0,0,model predictive control,robotics,
NASOQ,test02_0,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0145912,0,8.86117e-09,3.20348e-15,4.43058,0,4.43058,0,0,model predictive control,robotics,
NASOQ,test02_10,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0144034,0,4.82441e-09,5.59151e-07,2.41404,0,2.41404,0,0,model predictive control,robotics,
NASOQ,test02_11,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0146896,0,4.52221e-09,4.22417e-07,2.02075,0,2.02075,0,0,model predictive control,robotics,
NASOQ,test02_12,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0150609,0,4.22178e-09,2.98226e-07,1.69172,0,1.69172,0,0,model predictive control,robotics,
NASOQ,test02_13,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.014982,0,3.92808e-09,2.95817e-07,1.42018,0,1.42018,0,0,model predictive control,robotics,
NASOQ,test02_14,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0145013,0,3.64374e-09,7.43652e-08,1.19898,0,1.19898,0,0,model predictive control,robotics,
NASOQ,test02_15,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0146711,0,3.37027e-09,1.17191e-07,1.02119,0,1.02119,0,0,model predictive control,robotics,
NASOQ,test02_16,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0147775,0,3.10851e-09,2.92588e-07,0.88031,0,0.88031,0,0,model predictive control,robotics,
NASOQ,test02_17,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0144747,0,2.85902e-09,2.07965e-07,0.770433,0,0.770433,0,0,model predictive control,robotics,
NASOQ,test02_18,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0134764,0,2.62208e-09,1.18508e-07,0.686283,0,0.686283,0,0,model predictive control,robotics,
NASOQ,test02_19,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.014945,0,2.39784e-09,1.7855e-07,0.623212,0,0.623212,0,0,model predictive control,robotics,
NASOQ,test02_1,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.014509,0,1.04888e-08,3.41337e-07,4.74602,0,4.74602,0,0,model predictive control,robotics,
NASOQ,test02_2,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.013571,0,1.05466e-08,1.32345e-07,5.32322,0,5.32322,0,0,model predictive control,robotics,
NASOQ,test02_3,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0150652,0,9.87775e-09,1.64118e-07,5.73814,0,5.73814,0,0,model predictive control,robotics,
NASOQ,test02_4,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0148866,0,8.96415e-09,3.79032e-07,5.67266,0,5.67266,0,0,model predictive control,robotics,
NASOQ,test02_5,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0151049,0,7.99815e-09,2.61243e-07,5.23953,0,5.23953,0,0,model predictive control,robotics,
NASOQ,test02_6,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0150953,0,7.04969e-09,6.62238e-08,4.63941,0,4.63941,0,0,model predictive control,robotics,
NASOQ,test02_7,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.01478,0,6.14419e-09,4.50795e-07,4.00722,0,4.00722,0,0,model predictive control,robotics,
NASOQ,test02_8,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0144003,0,5.38548e-09,8.47526e-08,3.41049,0,3.41049,0,0,model predictive control,robotics,
NASOQ,test02_9,185,185,125,2196,0,0,8,1e-06,0,0,1e-15,1e-09,1,0,0.0148546,0,5.11868e-09,3.25802e-07,2.87684,0,2.87684,0,0,model predictive control,robotics,
NASOQ,test03_0,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,7,0.0189038,7,1.0695e-08,1.02905e-14,4.72421,1.26337e-10,4.72421,0,9.66233e-11,model predictive control,robotics,
NASOQ,test03_10,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0162143,0,4.46074e-09,4.02902e-07,2.49546,0,2.49546,0,0,model predictive control,robotics,
NASOQ,test03_11,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0161976,0,4.21195e-09,1.51383e-07,2.10397,0,2.10397,0,0,model predictive control,robotics,
NASOQ,test03_12,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0162544,0,3.95964e-09,1.7277e-07,1.77255,0,1.77255,0,0,model predictive control,robotics,
NASOQ,test03_13,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0144526,0,3.70906e-09,4.8243e-08,1.49559,0,1.49559,0,0,model predictive control,robotics,
NASOQ,test03_14,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0161768,0,3.46318e-09,2.08092e-07,1.26695,0,1.26695,0,0,model predictive control,robotics,
NASOQ,test03_15,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0160402,0,3.22388e-09,5.01285e-07,1.08049,0,1.08049,0,0,model predictive control,robotics,
NASOQ,test03_16,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0165071,0,2.9924e-09,1.95534e-07,0.930388,0,0.930388,0,0,model predictive control,robotics,
NASOQ,test03_17,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0159019,0,2.76957e-09,1.94029e-07,0.811215,0,0.811215,0,0,model predictive control,robotics,
NASOQ,test03_18,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0168788,0,2.556e-09,3.44314e-07,0.718066,0,0.718066,0,0,model predictive control,robotics,
NASOQ,test03_19,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0157048,0,2.35219e-09,3.18515e-07,0.646569,0,0.646569,0,0,model predictive control,robotics,
NASOQ,test03_1,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0165116,0,1.07707e-08,1.76273e-07,4.8506,0,4.8506,0,0,model predictive control,robotics,
NASOQ,test03_2,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.016556,0,1.10126e-08,2.92756e-07,5.34812,0,5.34812,0,0,model predictive control,robotics,
NASOQ,test03_3,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0159429,0,1.04698e-08,1.64843e-07,5.70156,0,5.70156,0,0,model predictive control,robotics,
NASOQ,test03_4,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0173066,0,9.62663e-09,5.21899e-07,5.62735,0,5.62735,0,0,model predictive control,robotics,
NASOQ,test03_5,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.01467,0,8.69449e-09,4.73706e-07,5.2172,0,5.2172,0,0,model predictive control,robotics,
NASOQ,test03_6,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0157967,0,7.75875e-09,5.5565e-07,4.64892,0,4.64892,0,0,model predictive control,robotics,
NASOQ,test03_7,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0156289,0,6.85381e-09,3.94702e-07,4.04558,0,4.04558,0,0,model predictive control,robotics,
NASOQ,test03_8,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0158156,0,5.99411e-09,2.08208e-07,3.47057,0,3.47057,0,0,model predictive control,robotics,
NASOQ,test03_9,185,185,125,2196,120,120,8,1e-06,0,0,1e-15,1e-09,1,0,0.0143799,0,5.186e-09,1.07439e-07,2.95097,0,2.95097,0,0,model predictive control,robotics,
NASOQ,test04_0,185,185,125,2196,239,358,8,1e-06,0,0,1e-15,1e-09,1,33,0.0315256,31,1.8661e-08,8.39537e-08,7.93063,-2.55296e-07,7.93063,0,7.5282e-08,model predictive control,robotics,
NASOQ,test04_10,185,185,125,2196,239,358,8,1e-06,0,0,1e-15,1e-09,1,0,0.0182129,0,1.40291e-08,5.69134e-08,5.58808,0,5.58808,0,0,model predictive control,robotics,
NASOQ,test04_11,185,185,125,2196,239,358,8,1e-06,0,0,1e-15,1e-09,1,0,0.0173572,0,1.31009e-08,1.63329e-07,5.10729,0,5.10729,0,0,model predictive control,robotics,
NASOQ,test04_12,185,185,125,2196,239,358,8,1e-06,0,0,1e-15,1e-09,1,0,0.0159529,0,1.21929e-08,7.39148e-08,4.64794,0,4.64794,0,0,model predictive control,robotics,
NASOQ,test04_13,185,185,125,2196,239,358,8,1e-06,0,0,1e-15,1e-09,1,0,0.0148256,0,1.13097e-08,6.81971e-08,4.2121,0,4.2121,0,0,model predictive control,robotics,
