Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,gargnested2_falling0,1035,18477,0,0,1,12,8,0.001,3,3,1e-15,1e-09,1,1,0.0480106,1,0,8.058e-13,-1785.92,-1.67055e-14,-1785.92,0,1.67055e-14,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling10,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,1,0.0536307,1,0,5.83977e-13,-1370.35,-9.54333e-16,-1370.35,0,9.54333e-16,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling11,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,1,0.0522444,1,8.88178e-16,8.62421e-13,-1396.07,1.90781e-15,-1396.07,0,1.90781e-15,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling12,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,1,0.0503782,1,4.44089e-16,6.41043e-13,-1421.93,7.37149e-16,-1421.93,0,7.37149e-16,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling13,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,1,0.04968,1,0,9.19154e-13,-1448.13,0,-1448.13,0,0,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling14,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,1,0.050873,1,4.44089e-16,8.94618e-13,-1474.67,7.01533e-16,-1474.67,0,7.01533e-16,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling15,1035,18477,0,0,4,48,8,0.001,3,3,1e-15,1e-09,1,2,0.0576885,2,0,8.12239e-13,-1487.55,-8.93248e-16,-1487.55,0,8.93248e-16,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling16,1035,18477,0,0,4,48,8,0.001,3,3,1e-15,1e-09,1,2,0.0546442,2,8.88178e-16,9.74887e-13,-1495.61,6.71112e-15,-1495.61,0,6.71112e-15,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling17,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,2,0.0569316,2,8.88178e-16,6.91447e-13,-1512.88,8.77907e-15,-1512.88,0,6.09124e-15,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling18,1035,18477,0,0,3,36,8,0.001,3,3,1e-15,1e-09,1,2,0.0547463,2,0,8.69971e-13,-1536.85,-2.67456e-15,-1536.85,0,2.67456e-15,contact simulation,computer graphics,
NASOQ-Fixed,gargnested2_falling19,1035,18477,0,0,2,24,8,0.001,3,3,1e-15,1e-09,1,2,0.0470941,2,8.88178e-16,6.55254e-13,-1560.71,4.85856e-15,-1560.71,0,3.70098e-15,contact simulation,computer graphics,
