Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,lamb_falling0,2403,37998,0,0,10,30,8,0.001,0,0,1e-15,1e-09,1,9,0.0633387,9,2.03011e-06,1.0518e-06,-8.24047e+09,0.00537194,-8.24047e+09,0,0.0744181,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb0,4806,75996,0,0,1323,31752,8,0.001,0,0,1e-15,1e-09,2,667,4.02194,487,0.00048349,0.00226831,-1.12375e+08,-3.90714,-1.12375e+08,9.09495e-13,2.0868,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb10,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,426,2.74715,374,1.82395e-06,0.000372357,-1.06764e+08,-0.0253422,-1.06764e+08,0,0.0092419,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb11,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,417,2.60624,359,1.56507e-06,0.000300059,-1.06243e+08,-0.0230807,-1.06243e+08,0,0.0090932,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb12,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,431,3.28109,385,2.32602e-05,0.00049084,-1.05738e+08,-0.0218021,-1.05738e+08,0,0.00929384,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb13,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,430,2.45601,386,0.000545179,0.000310928,-1.05253e+08,-0.0262553,-1.05253e+08,0,0.00920579,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb14,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,428,2.88626,388,1.10473e-06,0.000323131,-1.04796e+08,-0.0232029,-1.04796e+08,0,0.00909067,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb15,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,442,2.55785,388,0.000243323,0.000796619,-1.04367e+08,-0.0233364,-1.04367e+08,5.68434e-14,0.00881114,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb16,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,426,2.80714,378,0.000590726,0.000193822,-1.03962e+08,-0.0238236,-1.03962e+08,1.13687e-13,0.00910851,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb17,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,415,2.11077,367,0.000911528,0.000561228,-1.03582e+08,-0.030753,-1.03582e+08,3.55271e-15,0.00880968,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb18,4806,75996,0,0,1326,31824,8,0.001,0,0,1e-15,1e-09,1,399,2.15573,361,0.000342551,0.000394873,-1.03226e+08,-0.0286856,-1.03226e+08,0,0.00871682,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb19,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,392,2.4838,354,0.000342879,0.000551577,-1.02894e+08,-0.0289795,-1.02894e+08,2.84217e-14,0.00862953,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb1,4806,75996,0,0,1323,31752,8,0.001,0,0,1e-15,1e-09,1,413,2.51223,385,0.000311275,0.000361965,-1.12019e+08,-0.00529427,-1.12019e+08,0,0.00128854,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb20,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,406,2.50992,352,1.38235e-06,0.000281063,-1.02583e+08,-0.0275184,-1.02583e+08,0,0.0085409,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb21,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,392,2.03273,346,1.21845e-06,0.000145903,-1.02287e+08,-0.023675,-1.02287e+08,0,0.00848108,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb22,4806,75996,0,0,1332,31968,8,0.001,0,0,1e-15,1e-09,1,350,2.01096,312,3.82921e-06,0.000290103,-1.01994e+08,-0.0937581,-1.01994e+08,0,0.0343828,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb23,4806,75996,0,0,1344,32256,8,0.001,0,0,1e-15,1e-09,2,365,2.28363,335,0.000243293,0.00544623,-1.01683e+08,-0.269864,-1.01683e+08,7.10543e-15,0.217629,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb24,4806,75996,0,0,1338,32112,8,0.001,0,0,1e-15,1e-09,1,359,2.3406,333,1.34551e-06,0.000352692,-1.01435e+08,-0.022847,-1.01435e+08,0,0.00779208,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb25,4806,75996,0,0,1350,32400,8,0.001,0,0,1e-15,1e-09,1,325,2.10077,307,1.2832e-06,0.000701505,-1.01198e+08,-0.0279022,-1.01198e+08,7.10543e-15,0.00670088,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb26,4806,75996,0,0,1350,32400,8,0.001,0,0,1e-15,1e-09,1,314,1.99091,294,1.28168e-06,0.000555315,-1.00975e+08,-0.0207385,-1.00975e+08,7.10543e-15,0.00709048,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb27,4806,75996,0,0,1338,32112,8,0.001,0,0,1e-15,1e-09,1,338,2.15601,312,1.24833e-06,0.00093616,-1.00749e+08,-0.0256408,-1.00749e+08,0,0.00716377,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb28,4806,75996,0,0,1368,32832,8,0.001,0,0,1e-15,1e-09,2,337,2.15538,305,2.45659e-06,0.00137458,-1.00481e+08,-0.308713,-1.00481e+08,1.77636e-15,0.151311,contact simulation,computer graphics,
NASOQ-Fixed,lamb_lamb29,4806,75996,0,0,1341,32184,8,0.001,0,0,1e-15,1e-09,1,29,0.310426,27,1.84604e-07,3.77062e-05,-1.02759e+08,-0.00142801,-1.02759e+08,0,0.00146,contact simulation,computer graphics,
