Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,test01_0,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0204847,0,6.66134e-16,5.32907e-15,11.3456,0,11.3456,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_10,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0193499,0,8.88178e-16,1.15186e-15,5.00632,0,5.00632,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_11,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0178993,0,6.66134e-16,3.02536e-15,4.54745,0,4.54745,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_12,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0184952,0,1.33227e-15,5.93969e-15,4.11372,0,4.11372,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_13,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0191047,0,6.66134e-16,6.66134e-16,3.7064,0,3.7064,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_14,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0190627,0,8.88178e-16,6.66134e-16,3.32655,0,3.32655,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_15,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0193604,0,6.66134e-16,4.94049e-15,2.97486,0,2.97486,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_16,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0187563,0,6.66134e-16,6.10623e-16,2.65167,0,2.65167,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_17,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0184726,0,6.66134e-16,1.33227e-15,2.35689,0,2.35689,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_18,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0173444,0,6.66134e-16,3.88578e-16,2.09003,0,2.09003,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_19,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.017523,0,6.66134e-16,4.10783e-15,1.85027,0,1.85027,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_1,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0188304,0,6.66134e-16,5.10703e-15,10.424,0,10.424,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_2,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0184942,0,7.77156e-16,1.04017e-14,9.62579,0,9.62579,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_3,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0180107,0,4.44089e-16,1.2032e-14,8.91318,0,8.91318,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_4,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.0177896,0,6.66134e-16,1.18724e-14,8.26048,0,8.26048,0,0,model predictive control,robotics,
NASOQ-Fixed,test01_5,185,185,125,2196,0,0,8,0.001,3,3,1e-15,1e-09,1,0,0.018474,0,5.55112e-16,1.11855e-14,7.65075,0,7.65075,0,0,model predictive control,robotics,
