Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,arma1_arma0,19158,338718,0,0,156,3744,8,1e-06,1,1,1e-15,1e-09,1,54,1.2786,44,6.68909e-15,1.50144e-12,-1613.63,-1.23781e-16,-1613.63,0,2.38654e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma10,19158,338718,0,0,123,2952,8,1e-06,1,1,1e-15,1e-09,1,19,0.710744,17,2.16493e-15,2.37713e-13,-1552.36,2.51315e-17,-1552.36,0,1.91338e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma11,19158,338718,0,0,174,4176,8,1e-06,1,1,1e-15,1e-09,1,39,0.885364,31,3.64708e-14,1.39851e-08,-1547,4.48116e-16,-1547,0,2.12774e-15,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma12,19158,338718,0,0,180,4320,8,1e-06,1,1,1e-15,1e-09,1,41,0.916298,33,2.77089e-12,2.0158e-08,-1542.27,-1.21544e-11,-1542.27,1.11022e-16,7.7806e-12,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma13,19158,338718,0,0,102,2448,8,1e-06,1,1,1e-15,1e-09,1,40,1.00507,34,1.11022e-14,1.26565e-14,-1538.5,-7.69989e-15,-1538.5,0,3.06112e-15,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma14,19158,338718,0,0,129,3096,8,1e-06,1,1,1e-15,1e-09,1,41,1.6111,35,4.13647e-13,4.02126e-08,-1530.67,2.2988e-13,-1530.67,0,4.69913e-13,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma15,19158,338718,0,0,87,2088,8,1e-06,1,1,1e-15,1e-09,1,32,0.815526,28,5.88418e-14,2.14638e-08,-1528.78,-8.83058e-13,-1528.78,0,7.86904e-13,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma1,19158,338718,0,0,165,3960,8,1e-06,1,1,1e-15,1e-09,1,46,1.42761,36,7.14706e-16,1.24234e-12,-1597.66,-4.65934e-16,-1597.66,0,1.31018e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma2,19158,338718,0,0,156,3744,8,1e-06,1,1,1e-15,1e-09,1,28,0.75255,26,6.17562e-15,2.03587e-13,-1588.2,-5.82991e-16,-1588.2,0,2.92026e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma3,19158,338718,0,0,138,3312,8,1e-06,1,1,1e-15,1e-09,1,24,0.872347,22,6.93889e-16,1.51393e-13,-1583.04,-1.14699e-15,-1583.04,0,4.34063e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma4,19158,338718,0,0,186,4464,8,1e-06,1,1,1e-15,1e-09,1,34,0.981467,26,1.66533e-15,8.21287e-13,-1578.16,9.90656e-16,-1578.16,0,5.46129e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma5,19158,338718,0,0,186,4464,8,1e-06,1,1,1e-15,1e-09,1,35,1.24933,33,3.44724e-14,1.52065e-09,-1573.35,8.8774e-16,-1573.35,0,2.51938e-16,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma6,19158,338718,0,0,132,3168,8,1e-06,1,1,1e-15,1e-09,1,28,0.862073,22,1.11022e-14,9.11891e-10,-1569.38,1.7896e-15,-1569.38,0,1.38876e-15,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma7,19158,338718,0,0,144,3456,8,1e-06,1,1,1e-15,1e-09,1,28,0.866748,26,1.57291e-13,7.2771e-09,-1563.42,2.81428e-14,-1563.42,0,3.2064e-14,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma8,19158,338718,0,0,87,2088,8,1e-06,1,1,1e-15,1e-09,1,22,0.613229,20,3.30037e-14,7.82889e-09,-1559.32,1.18503e-14,-1559.32,0,1.13007e-14,contact simulation,computer graphics,
NASOQ-Fixed,arma1_arma9,19158,338718,0,0,57,1368,8,1e-06,1,1,1e-15,1e-09,1,14,0.572646,14,3.24569e-14,2.80123e-14,-1557.02,4.82017e-16,-1557.02,0,4.62221e-16,contact simulation,computer graphics,
