Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,knight_falling0,7425,127764,0,0,34,102,8,1e-06,1,1,1e-15,1e-09,1,31,0.338581,27,1.33227e-15,1.36191e-12,-1016.02,4.0651e-15,-1016.02,0,8.73022e-15,contact simulation,computer graphics,
NASOQ-Fixed,knight_falling1,7425,127764,0,0,131,393,8,1e-06,1,1,1e-15,1e-09,1,64,0.651886,62,1.33227e-15,1.07991e-12,-616.947,-1.20456e-14,-616.947,0,4.77423e-15,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight0,14850,255528,0,0,30,720,8,1e-06,1,1,1e-15,1e-09,1,23,0.500816,19,4.38538e-15,9.24812e-12,-665.257,-3.60951e-16,-665.257,0,1.72976e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight10,14850,255528,0,0,240,5760,8,1e-06,1,1,1e-15,1e-09,1,86,1.43688,62,3.10862e-15,1.24458e-11,-574.972,-7.56048e-16,-574.972,0,5.98253e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight11,14850,255528,0,0,234,5616,8,1e-06,1,1,1e-15,1e-09,1,71,1.34297,65,5.4876e-14,4.06075e-12,-555.609,-7.80442e-16,-555.609,0,3.13371e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight12,14850,255528,0,0,240,5760,8,1e-06,1,1,1e-15,1e-09,1,84,1.26392,68,4.75217e-14,9.27491e-12,-535.513,3.53329e-16,-535.513,0,5.11188e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight13,14850,255528,0,0,213,5112,8,1e-06,1,1,1e-15,1e-09,1,88,1.40768,68,1.43219e-13,2.69455e-11,-514.46,-6.8711e-17,-514.46,3.46945e-18,5.62091e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight14,14850,255528,0,0,270,6480,8,1e-06,1,1,1e-15,1e-09,2,92,1.90391,80,6.81954e-13,2.6768e-06,-492.318,2.23381e-13,-492.318,0,1.42727e-13,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight15,14850,255528,0,0,231,5544,8,1e-06,1,1,1e-15,1e-09,1,115,1.80502,79,5.91749e-14,8.09437e-12,-471.147,-1.52839e-15,-471.147,5.42101e-20,4.76829e-16,contact simulation,computer graphics,
NASOQ-Fixed,knight_knight16,14850,255528,0,0,300,7200,8,1e-06,1,1,1e-15,1e-09,1,110,1.73659,82,1.79025e-12,3.08433e-07,-451.15,-3.02935e-14,-451.15,0,4.13049e-13,contact simulation,computer graphics,
