Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-Fixed,aug2dcqp,20200,20200,10000,40000,20200,20200,8,1e-06,1,1,1e-15,1e-09,1,412,8.46703,206,3.19389e-12,6.32099e-11,6.48803e+06,-9.84399e-08,6.48803e+06,2.22045e-16,8.24361e-09,maros-meszaros,maros-meszaros,
NASOQ-Fixed,aug2dc,20200,20200,10000,40000,0,0,8,1e-06,1,1,1e-15,1e-09,1,0,0.260114,0,3.44169e-14,1.13687e-13,1.80827e+06,0,1.80827e+06,0,0,maros-meszaros,maros-meszaros,
NASOQ-Fixed,aug3dcqp,3873,3873,1000,6546,3873,3873,8,1e-06,3,3,1e-15,1e-09,1,540,4.41398,540,1.42109e-14,2.08722e-14,-943.138,3.26923e-15,-943.138,0,1.10113e-15,maros-meszaros,maros-meszaros,
NASOQ-Fixed,aug3dc,3873,3873,1000,6546,0,0,8,1e-06,1,1,1e-15,1e-09,1,0,0.0770697,0,1.77636e-15,7.77156e-16,-1165.24,0,-1165.24,0,0,maros-meszaros,maros-meszaros,
NASOQ-Fixed,cont-050,2597,2597,2401,12005,5194,5194,8,1e-06,3,3,1e-15,1e-07,1,1,0.18453,1,3.55271e-15,5.52833e-13,-4.56385,0,-4.56385,0,0,maros-meszaros,maros-meszaros,
NASOQ-Fixed,cont-100,10197,10197,9801,49005,20394,20394,8,1e-06,1,1,1e-15,1e-07,1,1,0.517736,1,4.6767e-12,7.19998e-10,-4.6444,0,-4.6444,0,0,maros-meszaros,maros-meszaros,
NASOQ-Fixed,cont-200,40397,40397,39601,198005,80794,80794,8,1e-06,1,1,1e-15,1e-07,2,1,1.88787,1,3.72927e-10,1.29459e-06,-4.68488,0,-4.68488,0,0,maros-meszaros,maros-meszaros,
NASOQ-Fixed,cont-201,40397,40397,40198,199199,80794,80794,8,1e-06,1,1,1e-15,1e-07,1,28,7.52858,2,3.14636e-08,2.03044e-07,0.192482,-1.24145e-11,0.192482,0,1.24145e-11,maros-meszaros,maros-meszaros,
NASOQ-Fixed,dual1,85,3558,1,85,170,170,8,1e-06,3,3,1e-15,1e-09,1,22,0.0460576,22,1.73472e-18,7.38298e-15,0.035013,9.28187e-21,0.035013,0,8.04109e-21,maros-meszaros,maros-meszaros,
NASOQ-Fixed,dual2,96,4508,1,96,192,192,8,1e-06,3,3,1e-15,1e-09,1,4,0.0179648,4,1.02261e-28,1.82493e-15,0.0337337,-8.54645e-29,0.0337337,0,4.90572e-29,maros-meszaros,maros-meszaros,
