Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,beam_floor0,1572,25662,0,0,11,33,8,0.001,2,2,1e-15,1e-09,1,11,0.0924706,11,9.99201e-16,4.77485e-12,-726926,-6.68857e-13,-726926,0,5.87645e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor130,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,140,0.620766,140,1.22125e-15,1.03455e-11,-318211,1.46685e-13,-318211,0,4.75249e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor131,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,140,0.618081,140,1.44329e-15,1.1255e-11,-320863,-5.20011e-14,-320863,0,5.0896e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor132,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,140,0.565911,140,3.44414e-05,1.54614e-11,-323525,-6.90483e-14,-323525,0,7.11622e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor133,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.563639,141,1.55431e-15,1.04592e-11,-326182,-2.98777e-13,-326182,0,6.37367e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor134,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.560825,141,1.55431e-15,9.54969e-12,-328827,-1.75195e-13,-328827,0,7.17178e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor135,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.564446,141,2.66454e-15,1.3074e-11,-331453,3.02725e-13,-331453,0,9.18664e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor136,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.567262,141,1.11022e-15,9.54969e-12,-334062,-3.12025e-15,-334062,0,6.16393e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor137,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.5626,141,1.22125e-15,1.15961e-11,-336657,1.13927e-13,-336657,0,6.17007e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor138,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.569636,141,1.77636e-15,1.22213e-11,-339243,4.16114e-13,-339243,0,7.1776e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor139,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.569048,141,2.10942e-15,1.80762e-11,-341829,4.72371e-14,-341829,0,1.1653e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor140,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.559433,141,1.33227e-15,1.25056e-11,-344424,-5.9633e-15,-344424,0,6.6386e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor141,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.567602,141,1.55431e-15,1.38698e-11,-347036,-2.34423e-13,-347036,0,9.17445e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor142,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.566548,141,1.44329e-15,1.46656e-11,-349672,-4.75818e-13,-349672,0,7.31671e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor143,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.563299,141,1.66533e-15,1.00044e-11,-352337,-1.6982e-13,-352337,0,7.30397e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor144,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.564923,141,1.22125e-15,1.04592e-11,-355033,-3.96175e-14,-355033,0,7.68267e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor145,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.562924,141,1.33227e-15,8.18545e-12,-357759,3.76279e-14,-357759,0,6.21994e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor146,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.568182,141,1.66533e-15,1.19371e-11,-360511,-1.51193e-13,-360511,0,8.89906e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor147,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.564117,141,2.44249e-15,1.23919e-11,-363283,-8.09535e-14,-363283,0,1.26248e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor148,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.566652,141,1.77636e-15,1.38698e-11,-366070,2.03085e-13,-366070,0,1.13647e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor149,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.56476,141,1.77636e-15,1.42109e-11,-368863,2.01149e-13,-368863,0,8.4091e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor150,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.568002,141,1.33227e-15,1.28466e-11,-371656,2.33466e-13,-371656,0,8.37795e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor151,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.565273,141,1.33227e-15,1.09139e-11,-374445,-5.88443e-13,-374445,0,7.79997e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor152,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.561969,141,1.9984e-15,1.09139e-11,-377229,1.64446e-13,-377229,0,7.54732e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor153,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.570264,141,1.9984e-15,1.09139e-11,-380007,7.61251e-15,-380007,0,1.13289e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor154,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.567771,141,1.55431e-15,1.06866e-11,-382783,-6.82481e-13,-382783,0,1.49565e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor155,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.565817,141,2.22045e-15,1.3415e-11,-385562,-3.7243e-13,-385562,0,1.05788e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor156,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.559962,141,1.55431e-15,1.17097e-11,-388349,2.05805e-14,-388349,0,7.6719e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor157,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.559688,141,1.33227e-15,1.38698e-11,-391149,-1.54813e-13,-391149,0,8.97722e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor158,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.563881,141,1.33227e-15,1.29603e-11,-393968,-1.04891e-13,-393968,0,9.04019e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor159,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.560658,141,1.77636e-15,8.98126e-12,-396808,1.91063e-13,-396808,0,8.48831e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor160,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.567203,141,1.55431e-15,9.77707e-12,-399670,3.09425e-13,-399670,0,6.02474e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor161,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.565731,141,2.22045e-15,1.11413e-11,-402556,-3.50796e-14,-402556,0,8.89441e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor162,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.564336,141,2.22045e-15,1.02318e-11,-405462,-9.41643e-14,-405462,0,1.15793e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor163,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.561486,141,1.9984e-15,7.84439e-12,-408386,3.33219e-13,-408386,0,9.40336e-14,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor164,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.567989,141,1.77636e-15,1.04592e-11,-411324,-1.45494e-13,-411324,0,1.06631e-13,contact simulation,computer graphics,
NASOQ-TUNED,beam_floor165,1572,25662,0,0,141,423,8,0.001,2,2,1e-15,1e-09,1,141,0.566238,141,1.77636e-15,1.3415e-11,-414271,2.89166e-14,-414271,0,8.69159e-14,contact simulation,computer graphics,
