Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,gargnested2_falling0,1035,18477,0,0,1,12,8,0.001,2,2,1e-15,1e-09,1,1,0.0468064,1,0,8.68638e-13,-1785.92,0,-1785.92,0,0,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling10,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,1,0.0509494,1,0,6.80123e-13,-1370.35,-9.54333e-16,-1370.35,0,9.54333e-16,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling11,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,1,0.0515788,1,0,7.44294e-13,-1396.07,-9.53906e-16,-1396.07,0,9.53906e-16,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling12,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,1,0.0506595,1,0,9.7089e-13,-1421.93,-7.37149e-16,-1421.93,0,7.37149e-16,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling13,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,1,0.0492185,1,4.44089e-16,7.56006e-13,-1448.13,6.93419e-16,-1448.13,0,6.93419e-16,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling14,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,1,0.051211,1,0,5.9841e-13,-1474.67,-1.40307e-15,-1474.67,0,1.40307e-15,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling15,1035,18477,0,0,4,48,8,0.001,2,2,1e-15,1e-09,1,2,0.0557137,2,4.44089e-16,6.98552e-13,-1487.55,8.93248e-16,-1487.55,0,8.93248e-16,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling16,1035,18477,0,0,4,48,8,0.001,2,2,1e-15,1e-09,1,2,0.0541991,2,8.88178e-16,7.9714e-13,-1495.61,6.71112e-15,-1495.61,0,6.71112e-15,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling17,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,2,0.0581709,2,0,8.51763e-13,-1512.88,0,-1512.88,0,0,contact simulation,computer graphics,
NASOQ-TUNED,gargnested2_falling18,1035,18477,0,0,3,36,8,0.001,2,2,1e-15,1e-09,1,2,0.0558305,2,0,5.70211e-13,-1536.85,-1.33728e-15,-1536.85,0,1.33728e-15,contact simulation,computer graphics,
