Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,lamb_falling0,2403,37998,0,0,10,30,8,0.001,2,2,1e-15,1e-09,1,9,0.0745187,9,8.88178e-15,1.86265e-09,-8.24047e+09,1.58156e-10,-8.24047e+09,0,9.16541e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb0,4806,75996,0,0,1323,31752,8,0.001,2,2,1e-15,1e-09,1,663,7.71297,487,0.000482135,5.23869e-10,-1.12375e+08,-3.13674e-10,-1.12375e+08,0,1.06465e-10,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb10,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,425,5.0841,373,0.000156295,4.65661e-10,-1.06764e+08,-2.89576e-14,-1.06764e+08,2.84217e-14,5.88022e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb11,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,415,5.33957,359,6.23945e-14,5.23869e-10,-1.06243e+08,7.00065e-13,-1.06243e+08,2.84217e-14,1.29459e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb12,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,431,7.70327,385,2.20098e-05,8.14907e-10,-1.05738e+08,3.14586e-11,-1.05738e+08,2.84217e-14,7.01345e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb13,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,430,4.9591,386,0.0005451,4.19277e-10,-1.05253e+08,-3.18486e-11,-1.05253e+08,1.42109e-14,1.84651e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb14,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,428,4.62553,388,2.62151e-13,3.49291e-10,-1.04796e+08,6.90673e-11,-1.04796e+08,0,5.66624e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb15,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,442,4.56862,388,0.000243363,5.82077e-10,-1.04367e+08,7.3846e-12,-1.04367e+08,4.44089e-16,1.0037e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb16,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,426,5.26682,378,0.000590187,5.82077e-10,-1.03962e+08,-9.16896e-12,-1.03962e+08,0,1.43468e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb17,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,415,3.834,367,0.000911527,3.49246e-10,-1.03582e+08,-5.47362e-11,-1.03582e+08,0,8.04195e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb18,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,399,3.74841,361,0.000342125,4.65661e-10,-1.03226e+08,6.06025e-12,-1.03226e+08,8.88178e-16,8.23204e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb19,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,392,4.28314,354,0.000342532,5.82077e-10,-1.02894e+08,1.16975e-11,-1.02894e+08,1.13687e-13,1.12927e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb1,4806,75996,0,0,1323,31752,8,0.001,2,2,1e-15,1e-09,1,413,5.22694,385,0.000311083,5.82077e-10,-1.12019e+08,-1.43161e-11,-1.12019e+08,0,2.98233e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb20,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,408,4.33948,352,7.7593e-15,3.49246e-10,-1.02583e+08,7.28179e-12,-1.02583e+08,0,7.42433e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb21,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,392,4.21465,346,3.66374e-14,5.82077e-10,-1.02287e+08,-1.21332e-11,-1.02287e+08,0,1.87848e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb22,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,348,3.60639,312,1.85407e-14,4.07454e-10,-1.01994e+08,-1.45297e-12,-1.01994e+08,1.42109e-14,1.6918e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb23,4806,75996,0,0,1344,32256,8,0.001,2,2,1e-15,1e-09,1,365,4.39048,335,0.000241745,4.49745e-10,-1.01683e+08,3.43585e-11,-1.01683e+08,2.84217e-14,7.20262e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb24,4806,75996,0,0,1338,32112,8,0.001,2,2,1e-15,1e-09,1,359,4.71412,333,1.58207e-13,5.82077e-10,-1.01435e+08,-7.7002e-12,-1.01435e+08,0,7.16151e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb25,4806,75996,0,0,1350,32400,8,0.001,2,2,1e-15,1e-09,1,325,3.55796,307,1.07692e-14,2.32831e-10,-1.01198e+08,-3.97166e-11,-1.01198e+08,1.13687e-13,1.1293e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb26,4806,75996,0,0,1350,32400,8,0.001,2,2,1e-15,1e-09,1,314,4.16181,294,1.97065e-14,4.52928e-10,-1.00975e+08,-1.32336e-11,-1.00975e+08,0,8.93988e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb27,4806,75996,0,0,1338,32112,8,0.001,2,2,1e-15,1e-09,1,338,4.11508,312,1.19349e-13,6.31871e-10,-1.00749e+08,-3.40172e-11,-1.00749e+08,0,1.50338e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb28,4806,75996,0,0,1368,32832,8,0.001,2,2,1e-15,1e-09,1,337,3.76326,305,6.73905e-14,4.65661e-10,-1.00481e+08,6.07751e-11,-1.00481e+08,0,1.29647e-10,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb29,4806,75996,0,0,1341,32184,8,0.001,2,2,1e-15,1e-09,1,29,0.456122,27,2.0095e-14,1.16415e-10,-1.02759e+08,2.95158e-12,-1.02759e+08,0,1.38242e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb2,4806,75996,0,0,1323,31752,8,0.001,2,2,1e-15,1e-09,1,413,4.06438,375,0.00097218,3.49246e-10,-1.11551e+08,-3.62216e-11,-1.11551e+08,3.55271e-15,2.68587e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb30,4806,75996,0,0,1359,32616,8,0.001,2,2,1e-15,1e-09,1,67,1.01525,63,3.03646e-14,2.32831e-10,-1.04299e+08,6.5026e-12,-1.04299e+08,0,5.03341e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb31,4806,75996,0,0,1377,33048,8,0.001,2,2,1e-15,1e-09,1,45,0.665892,39,5.80092e-14,2.32831e-10,-1.05355e+08,-2.95937e-12,-1.05355e+08,0,5.85678e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb32,4806,75996,0,0,1383,33192,8,0.001,2,2,1e-15,1e-09,1,87,1.02012,79,3.73035e-14,2.91038e-10,-1.04323e+08,1.25239e-10,-1.04323e+08,0,6.34232e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb33,4806,75996,0,0,1389,33336,8,0.001,2,2,1e-15,1e-09,1,120,1.35595,114,1.38001e-13,2.32831e-10,-1.03405e+08,-3.30679e-11,-1.03405e+08,0,6.40795e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb34,4806,75996,0,0,1377,33048,8,0.001,2,2,1e-15,1e-09,1,46,0.70748,46,7.56374e-14,1.74623e-10,-1.04573e+08,1.14766e-11,-1.04573e+08,0,2.97443e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb35,4806,75996,0,0,1383,33192,8,0.001,2,2,1e-15,1e-09,1,100,1.28361,94,9.88376e-14,1.74623e-10,-1.04562e+08,3.37609e-11,-1.04562e+08,0,2.8272e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb36,4806,75996,0,0,1374,32976,8,0.001,2,2,1e-15,1e-09,1,43,0.582649,43,1.02363e-13,1.74623e-10,-1.06137e+08,1.01786e-11,-1.06137e+08,0,2.89434e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb3,4806,75996,0,0,1320,31680,8,0.001,2,2,1e-15,1e-09,1,425,4.0893,373,2.69881e-05,4.65661e-10,-1.10886e+08,-2.26988e-11,-1.10886e+08,0,1.45585e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb4,4806,75996,0,0,1320,31680,8,0.001,2,2,1e-15,1e-09,1,424,5.0086,374,0.000357841,4.07454e-10,-1.10307e+08,-2.8066e-12,-1.10307e+08,0,1.31243e-11,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb5,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,407,4.90622,361,0.000180062,3.49246e-10,-1.09683e+08,-5.11516e-12,-1.09683e+08,0,8.24735e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb6,4806,75996,0,0,1320,31680,8,0.001,2,2,1e-15,1e-09,1,419,7.29248,369,0.000830082,4.65661e-10,-1.09073e+08,-6.37223e-12,-1.09073e+08,0,5.80331e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb7,4806,75996,0,0,1326,31824,8,0.001,2,2,1e-15,1e-09,1,409,4.63181,353,0.000772054,3.53793e-10,-1.08472e+08,3.81466e-11,-1.08472e+08,0,7.12943e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb8,4806,75996,0,0,1332,31968,8,0.001,2,2,1e-15,1e-09,1,407,4.15212,365,6.75845e-05,3.49246e-10,-1.07884e+08,-2.43692e-12,-1.07884e+08,0,6.28863e-12,contact simulation,computer graphics,
NASOQ-TUNED,lamb_lamb9,4806,75996,0,0,1338,32112,8,0.001,2,2,1e-15,1e-09,1,399,3.84588,363,4.93122e-05,4.65661e-10,-1.07313e+08,-4.4788e-11,-1.07313e+08,0,1.36167e-11,contact simulation,computer graphics,
