Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,test01_0,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0167772,0,5.55112e-16,1.02696e-15,11.3456,0,11.3456,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_10,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0167564,0,8.88178e-16,5.41234e-16,5.00632,0,5.00632,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_11,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0155985,0,7.77156e-16,3.33067e-16,4.54745,0,4.54745,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_12,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0152889,0,8.88178e-16,7.21645e-16,4.11372,0,4.11372,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_13,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0137254,0,6.66134e-16,2.52576e-15,3.7064,0,3.7064,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_14,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0153052,0,8.88178e-16,1.27676e-15,3.32655,0,3.32655,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_15,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0149784,0,6.66134e-16,3.21965e-15,2.97486,0,2.97486,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_16,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0155363,0,6.66134e-16,2.77556e-16,2.65167,0,2.65167,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_17,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0151091,0,6.66134e-16,5.32907e-15,2.35689,0,2.35689,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_18,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.013296,0,6.66134e-16,3.94129e-15,2.09003,0,2.09003,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_19,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.015229,0,6.66134e-16,3.9968e-15,1.85027,0,1.85027,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_1,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0148675,0,6.66134e-16,1.59595e-15,10.424,0,10.424,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_2,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0130126,0,4.44089e-16,6.65787e-15,9.62579,0,9.62579,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_3,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0127796,0,4.44089e-16,1.2032e-14,8.91318,0,8.91318,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_4,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0151476,0,6.66134e-16,6.10623e-16,8.26048,0,8.26048,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_5,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0138928,0,4.44089e-16,1.48492e-14,7.65075,0,7.65075,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_6,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0148846,0,6.66134e-16,1.98452e-15,7.07336,0,7.07336,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_7,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0145102,0,6.66134e-16,4.05231e-15,6.52225,0,6.52225,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_8,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0129946,0,6.66134e-16,2.73392e-15,5.99443,0,5.99443,0,0,model predictive control,robotics,
NASOQ-TUNED,test01_9,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.012206,0,6.66134e-16,2.17881e-15,5.48899,0,5.48899,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_0,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0115642,0,6.66134e-16,3.68022e-15,4.43058,0,4.43058,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_10,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0147994,0,6.66134e-16,2.9976e-15,2.41404,0,2.41404,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_11,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0145782,0,8.88178e-16,2.27596e-15,2.02075,0,2.02075,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_12,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0135664,0,1.11022e-15,4.16334e-15,1.69172,0,1.69172,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_13,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0139881,0,6.66134e-16,2.72005e-15,1.42018,0,1.42018,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_14,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.012475,0,8.88178e-16,2.72005e-15,1.19898,0,1.19898,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_15,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.014768,0,8.88178e-16,2.44249e-15,1.02119,0,1.02119,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_16,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0133095,0,8.88178e-16,3.33067e-16,0.88031,0,0.88031,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_17,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0119697,0,8.88178e-16,1.94289e-16,0.770433,0,0.770433,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_18,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0127129,0,8.88178e-16,8.60423e-16,0.686283,0,0.686283,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_19,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0147973,0,8.88178e-16,8.88178e-16,0.623212,0,0.623212,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_1,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0150679,0,8.88178e-16,9.99201e-16,4.74602,0,4.74602,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_2,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0156867,0,9.99201e-16,6.84522e-15,5.32322,0,5.32322,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_3,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0147134,0,1.11022e-15,1.44329e-15,5.73814,0,5.73814,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_4,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0149752,0,7.77156e-16,1.55431e-15,5.67266,0,5.67266,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_5,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0143813,0,7.77156e-16,1.98452e-15,5.23953,0,5.23953,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_6,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0136411,0,8.88178e-16,1.85962e-15,4.63941,0,4.63941,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_7,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0154123,0,1.11022e-15,5.55112e-16,4.00722,0,4.00722,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_8,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0154437,0,8.88178e-16,5.44009e-15,3.41049,0,3.41049,0,0,model predictive control,robotics,
NASOQ-TUNED,test02_9,185,185,125,2196,0,0,8,0.001,2,2,1e-15,1e-09,1,0,0.0146032,0,8.88178e-16,1.16573e-15,2.87684,0,2.87684,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_0,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,7,0.0214664,7,8.88178e-16,3.40491e-15,4.72421,0,4.72421,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_10,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0122607,0,6.66134e-16,4.44089e-15,2.49546,0,2.49546,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_11,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0120047,0,8.88178e-16,3.71925e-15,2.10397,0,2.10397,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_12,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0164067,0,8.88178e-16,2.33147e-15,1.77255,0,1.77255,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_13,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0150261,0,8.88178e-16,7.21645e-16,1.49559,0,1.49559,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_14,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0135064,0,7.77156e-16,3.55271e-15,1.26695,0,1.26695,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_15,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0158991,0,8.88178e-16,3.88578e-16,1.08049,0,1.08049,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_16,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0166888,0,8.88178e-16,1.05471e-15,0.930388,0,0.930388,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_17,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0163497,0,6.66134e-16,3.38618e-15,0.811215,0,0.811215,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_18,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.016768,0,8.88178e-16,6.66134e-16,0.718066,0,0.718066,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_19,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0142823,0,6.66134e-16,9.4369e-16,0.646569,0,0.646569,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_1,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0159565,0,6.66134e-16,7.80626e-16,4.8506,0,4.8506,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_2,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0160879,0,4.44089e-16,3.88578e-16,5.34812,0,5.34812,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_3,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0170171,0,1.11022e-15,2.43208e-15,5.70156,0,5.70156,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_4,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0147975,0,6.66134e-16,4.996e-15,5.62735,0,5.62735,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_5,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0162218,0,1.11022e-15,3.85803e-15,5.2172,0,5.2172,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_6,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.014887,0,1.11022e-15,6.10623e-16,4.64892,0,4.64892,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_7,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0169175,0,6.66134e-16,1.55431e-15,4.04558,0,4.04558,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_8,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0162757,0,8.88178e-16,6.21725e-15,3.47057,0,3.47057,0,0,model predictive control,robotics,
NASOQ-TUNED,test03_9,185,185,125,2196,120,120,8,0.001,2,2,1e-15,1e-09,1,0,0.0141987,0,9.99201e-16,1.72085e-15,2.95097,0,2.95097,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_0,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,33,0.0658228,31,1.11022e-15,5.9952e-15,7.93063,2.13259e-15,7.93063,0,3.85923e-16,model predictive control,robotics,
NASOQ-TUNED,test04_10,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0195608,0,5.55112e-16,1.4988e-15,5.58808,0,5.58808,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_11,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0171286,0,4.44089e-16,1.55431e-15,5.10729,0,5.10729,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_12,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0183249,0,6.66134e-16,3.21965e-15,4.64794,0,4.64794,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_13,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.018139,0,9.99201e-16,1.52656e-15,4.2121,0,4.2121,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_14,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0167859,0,5.55112e-16,7.77156e-16,3.80148,0,3.80148,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_15,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0192865,0,6.66134e-16,7.21645e-16,3.4174,0,3.4174,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_16,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0183228,0,4.44089e-16,2.05391e-15,3.06077,0,3.06077,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_17,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0193761,0,1.11022e-15,4.94049e-15,2.73211,0,2.73211,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_18,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0186685,0,8.88178e-16,4.996e-16,2.43148,0,2.43148,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_19,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,0,0.0188689,0,5.55112e-16,3.33067e-16,2.15857,0,2.15857,0,0,model predictive control,robotics,
NASOQ-TUNED,test04_1,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,15,0.0396055,15,8.88178e-16,8.88178e-15,7.969,-5.78657e-16,7.969,0,2.17421e-16,model predictive control,robotics,
NASOQ-TUNED,test04_2,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,7,0.0261132,7,6.66134e-16,5.69716e-15,8.37706,-1.13575e-16,8.37706,0,8.08811e-17,model predictive control,robotics,
NASOQ-TUNED,test04_3,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,4,0.0235968,4,6.66134e-16,1.34589e-14,8.60756,-1.26787e-17,8.60756,0,5.08032e-17,model predictive control,robotics,
NASOQ-TUNED,test04_4,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,2,0.0212777,2,4.44089e-16,2.82066e-15,8.50625,-3.33794e-17,8.50625,0,2.41195e-17,model predictive control,robotics,
NASOQ-TUNED,test04_5,185,185,125,2196,239,358,8,0.001,2,2,1e-15,1e-09,1,1,0.02017,1,4.44089e-16,3.33067e-15,8.15342,2.34772e-18,8.15342,0,2.34772e-18,model predictive control,robotics,
