Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,arma1_arma0,19158,338718,0,0,156,3744,8,1e-06,2,2,1e-15,1e-09,1,54,1.74913,44,9.71445e-16,1.11022e-14,-1613.63,-7.45689e-16,-1613.63,0,4.25148e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma10,19158,338718,0,0,123,2952,8,1e-06,2,2,1e-15,1e-09,1,19,0.869942,17,6.66134e-16,7.99361e-15,-1552.36,-4.24178e-16,-1552.36,4.33681e-19,1.84063e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma11,19158,338718,0,0,174,4176,8,1e-06,2,2,1e-15,1e-09,1,39,1.24171,31,1.54876e-14,1.19904e-14,-1547,1.51989e-15,-1547,0,9.0356e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma12,19158,338718,0,0,180,4320,8,1e-06,2,2,1e-15,1e-09,1,41,1.35333,33,9.49241e-15,1.09357e-14,-1542.27,1.49135e-15,-1542.27,1.11022e-16,1.07215e-15,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma13,19158,338718,0,0,102,2448,8,1e-06,2,2,1e-15,1e-09,1,40,1.32836,34,7.66054e-15,1.11022e-14,-1538.5,1.01904e-15,-1538.5,0,4.5078e-15,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma14,19158,338718,0,0,129,3096,8,1e-06,2,2,1e-15,1e-09,1,41,2.25021,35,4.88498e-15,1.33227e-14,-1530.67,-3.56005e-15,-1530.67,0,2.20691e-15,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma15,19158,338718,0,0,87,2088,8,1e-06,2,2,1e-15,1e-09,1,32,1.11119,28,1.68754e-14,1.11022e-14,-1528.78,2.43142e-15,-1528.78,0,3.7923e-15,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma1,19158,338718,0,0,165,3960,8,1e-06,2,2,1e-15,1e-09,1,46,1.78751,36,2.55151e-15,9.76996e-15,-1597.66,2.82101e-16,-1597.66,1.38778e-17,3.18049e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma2,19158,338718,0,0,156,3744,8,1e-06,2,2,1e-15,1e-09,1,28,1.0016,26,1.79023e-15,7.99361e-15,-1588.2,-9.56832e-16,-1588.2,0,6.84174e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma3,19158,338718,0,0,138,3312,8,1e-06,2,2,1e-15,1e-09,1,24,1.06066,22,1.9984e-15,1.11022e-14,-1583.04,8.20217e-18,-1583.04,0,4.82292e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma4,19158,338718,0,0,186,4464,8,1e-06,2,2,1e-15,1e-09,1,34,1.3058,26,5.34019e-16,1.03806e-14,-1578.16,-7.18027e-16,-1578.16,0,4.56199e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma5,19158,338718,0,0,186,4464,8,1e-06,2,2,1e-15,1e-09,1,35,1.82796,33,2.16381e-14,9.76996e-15,-1573.35,-6.58805e-16,-1573.35,0,1.92716e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma6,19158,338718,0,0,132,3168,8,1e-06,2,2,1e-15,1e-09,1,26,1.10444,22,6.66134e-16,1.06581e-14,-1569.38,-1.2706e-15,-1569.38,0,5.34804e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma7,19158,338718,0,0,144,3456,8,1e-06,2,2,1e-15,1e-09,1,28,1.12123,26,1.28786e-14,9.76996e-15,-1563.42,-4.08869e-16,-1563.42,0,6.12828e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma8,19158,338718,0,0,87,2088,8,1e-06,2,2,1e-15,1e-09,1,22,0.815041,20,1.60982e-15,1.06581e-14,-1559.32,-1.97751e-16,-1559.32,0,4.22646e-16,contact simulation,computer graphics,
NASOQ-TUNED,arma1_arma9,19158,338718,0,0,57,1368,8,1e-06,2,2,1e-15,1e-09,1,14,0.664133,14,3.44345e-14,6.93889e-15,-1557.02,6.12848e-16,-1557.02,0,4.90383e-16,contact simulation,computer graphics,
