Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,garg2_garg20,28638,533088,0,0,171,4104,8,1e-06,2,2,1e-15,1e-09,1,60,4.26558,46,1.05249e-13,8.77076e-15,-931.297,-3.48271e-16,-931.297,0,1.32729e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg210,28638,533088,0,0,882,21168,8,1e-06,2,2,1e-15,1e-09,1,395,23.4463,273,6.86604e-15,2.11775e-14,-406.206,-5.19537e-15,-406.206,8.67362e-19,2.14413e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg211,28638,533088,0,0,777,18648,8,1e-06,2,2,1e-15,1e-09,1,421,25.7141,299,6.38378e-15,1.21569e-14,-384.642,-2.85994e-15,-384.642,4.33681e-19,1.18736e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg212,28638,533088,0,0,870,20880,8,1e-06,2,2,1e-15,1e-09,1,393,24.5854,277,1.41077e-14,1.42802e-14,-376.217,-1.44592e-16,-376.217,1.73472e-18,9.42579e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg213,28638,533088,0,0,891,21384,8,1e-06,2,2,1e-15,1e-09,1,351,20.3168,251,6.03268e-15,1.64035e-14,-381.646,-3.21894e-16,-381.646,6.93889e-18,1.02344e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg214,28638,533088,0,0,918,22032,8,1e-06,2,2,1e-15,1e-09,1,362,21.9633,244,5.8592e-14,4.974e-11,-396.388,1.33779e-13,-396.388,3.46945e-18,2.07535e-13,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg21,28638,533088,0,0,204,4896,8,1e-06,2,2,1e-15,1e-09,1,73,5.25496,57,1.88738e-14,8.43769e-15,-902.368,-1.56639e-15,-902.368,0,6.70128e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg22,28638,533088,0,0,228,5472,8,1e-06,2,2,1e-15,1e-09,1,76,4.47201,66,7.60503e-15,9.65894e-15,-870.292,-3.93371e-16,-870.292,0,4.95158e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg23,28638,533088,0,0,348,8352,8,1e-06,2,2,1e-15,1e-09,1,104,5.60366,84,3.17888e-15,1.42109e-14,-829.102,-8.56897e-17,-829.102,0,6.95126e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg24,28638,533088,0,0,438,10512,8,1e-06,2,2,1e-15,1e-09,1,160,8.71444,138,2.59626e-13,1.11022e-14,-766.543,4.72349e-15,-766.543,8.67362e-19,2.03728e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg25,28638,533088,0,0,531,12744,8,1e-06,2,2,1e-15,1e-09,1,216,15.7067,162,2.64706e-15,2.01505e-14,-698.074,-3.57943e-15,-698.074,6.93889e-18,9.81628e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg26,28638,533088,0,0,618,14832,8,1e-06,2,2,1e-15,1e-09,1,240,14.1371,188,4.6801e-15,1.53107e-14,-623.141,6.22798e-16,-623.141,0,7.25258e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg27,28638,533088,0,0,636,15264,8,1e-06,2,2,1e-15,1e-09,1,250,13.65,192,2.94137e-15,1.64174e-14,-554.255,-2.27647e-15,-554.255,8.67362e-19,9.10292e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg28,28638,533088,0,0,759,18216,8,1e-06,2,2,1e-15,1e-09,1,284,19.985,228,1.06221e-13,1.453e-14,-492.095,2.2743e-15,-492.095,3.46945e-18,1.31389e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg2_garg29,28638,533088,0,0,654,15696,8,1e-06,2,2,1e-15,1e-09,1,289,19.6002,225,2.28465e-14,1.36419e-14,-444.561,-1.61899e-15,-444.561,1.73472e-18,2.68325e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg3_floor0,29841,548823,0,0,216,648,8,1e-06,2,2,1e-15,1e-09,1,73,6.11923,73,1.69309e-15,9.27869e-13,-918.771,-7.53108e-15,-918.771,0,8.4294e-15,contact simulation,computer graphics,
NASOQ-TUNED,garg3_garg30,59682,1097646,0,0,234,5616,8,1e-06,2,2,1e-15,1e-09,1,73,12.5174,55,1.47564e-14,7.04992e-15,-934.145,-2.65247e-16,-934.145,4.33681e-19,1.3346e-16,contact simulation,computer graphics,
NASOQ-TUNED,garg_floor0,14319,266544,0,0,80,240,8,1e-06,2,2,1e-15,1e-09,1,45,2.06772,45,2.77556e-16,8.45102e-13,-898.597,-1.29489e-14,-898.597,0,6.80279e-15,contact simulation,computer graphics,
