Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
NASOQ-TUNED,aug2dcqp,20200,20200,10000,40000,20200,20200,8,1e-06,2,2,1e-20,1e-11,1,410,16.7671,206,1.42997e-13,9.08407e-12,6.48803e+06,-1.92206e-11,6.48803e+06,2.22045e-16,3.84584e-11,maros-meszaros,maros-meszaros,
NASOQ-TUNED,aug2dc,20200,20200,10000,40000,0,0,8,1e-06,2,2,1e-15,1e-09,1,0,0.26563,0,1.06581e-14,2.0961e-13,1.80827e+06,0,1.80827e+06,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,aug3dcqp,3873,3873,1000,6546,3873,3873,8,1e-06,2,2,1e-15,1e-09,1,540,4.05149,540,1.19904e-14,1.90958e-14,-943.138,1.67736e-15,-943.138,0,1.10113e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,aug3dc,3873,3873,1000,6546,0,0,8,1e-06,2,2,1e-15,1e-09,1,0,0.0810129,0,1.55431e-15,6.66134e-16,-1165.24,0,-1165.24,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,cont-050,2597,2597,2401,12005,5194,5194,8,1e-06,2,2,1e-15,1e-09,1,1,0.177316,1,4.88498e-15,1.68116e-14,-4.56385,0,-4.56385,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,cont-100,10197,10197,9801,49005,20394,20394,8,1e-06,0,0,1e-17,1e-11,3,95,6.90329,49,1.03836e-06,0.0120076,-4.57219,4.76701e-13,-4.57219,1.69407e-21,4.76619e-13,maros-meszaros,maros-meszaros,
NASOQ-TUNED,cont-200,40397,40397,39601,198005,80794,80794,8,1e-06,0,0,1e-17,1e-11,0,82,407.29,16,1.5839e-06,0.00548865,3.71755e+09,2.46575e+11,2.50293e+11,0,7.18709e-22,maros-meszaros,maros-meszaros,
NASOQ-TUNED,cont-201,40397,40397,40198,199199,80794,80794,8,1e-06,0,0,1e-17,1e-11,0,6,136.924,6,1.77853e-05,0.0591217,4.52492,-4.36033e-16,4.52492,0,1.75144e-14,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dual1,85,3558,1,85,170,170,8,1e-06,2,2,1e-15,1e-09,1,22,0.0471092,22,2.22045e-16,5.00988e-15,0.035013,6.80032e-21,0.035013,0,8.04109e-21,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dual2,96,4508,1,96,192,192,8,1e-06,2,2,1e-15,1e-09,1,4,0.0170454,4,1.02261e-28,1.82493e-15,0.0337337,-8.54645e-29,0.0337337,0,4.90572e-29,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dual3,111,6108,1,111,222,222,8,1e-06,2,2,1e-15,1e-09,1,14,0.0434732,14,2.22045e-16,4.05231e-15,0.135756,9.19996e-22,0.135756,0,5.07484e-22,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dual4,75,2799,1,75,150,150,8,1e-06,2,2,1e-15,1e-09,1,13,0.0317582,13,2.22045e-16,3.88578e-15,0.746091,5.23299e-20,0.746091,0,5.23299e-20,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dualc1,9,45,1,9,232,1944,8,1e-06,2,2,1e-15,1e-09,1,42,0.0945804,6,7.88258e-15,6.33383e-07,6155.25,-2.41862e-11,6155.25,0,3.00864e-11,maros-meszaros,maros-meszaros,
NASOQ-TUNED,dualc5,8,36,1,8,293,2232,8,1e-06,2,2,1e-15,1e-09,1,3,0.0123585,3,1.11022e-16,3.35376e-12,427.232,2.59581e-17,427.232,0,3.05246e-17,maros-meszaros,maros-meszaros,
NASOQ-TUNED,genhs28,10,19,8,24,0,0,8,1e-06,2,2,1e-15,1e-09,1,0,0.00594747,0,2.22045e-16,2.22045e-16,0.927174,0,0.927174,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs118,15,15,0,0,59,93,8,1e-06,2,2,1e-15,1e-09,1,23,0.0116955,15,1.93268e-12,7.17568e-08,664.82,1.64098e-11,664.82,0,4.44709e-12,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs21,2,2,0,0,5,6,8,1e-06,2,2,1e-15,1e-09,1,3,0.00520698,1,0,0,0.04,0,0.04,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs268,5,15,0,0,5,25,8,1e-06,2,2,1e-15,1e-09,1,0,0.00512084,0,3.03757e-11,7.27596e-12,-14463,0,-14463,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs35mod,3,5,1,1,3,5,8,1e-06,2,2,1e-15,1e-09,1,0,0.00501502,0,0,2.22045e-16,-8.75,0,-8.75,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs35,3,5,0,0,4,6,8,1e-06,2,2,1e-15,1e-09,1,1,0.00466748,1,0,2.22045e-16,-8.88889,0,-8.88889,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs51,5,7,3,7,0,0,8,1e-06,2,2,1e-15,1e-09,1,0,0.00738407,0,1.11022e-16,2.45064e-16,-6,0,-6,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs52,5,7,3,7,0,0,8,1e-06,2,2,1e-15,1e-09,1,0,0.00723893,0,1.38778e-17,4.44089e-16,-0.673352,0,-0.673352,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs53,5,7,3,7,10,10,8,1e-06,2,2,1e-15,1e-09,1,0,0.00719808,0,1.11022e-16,2.66454e-15,-1.90698,0,-1.90698,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hs76,4,6,0,0,7,14,8,1e-06,2,2,1e-15,1e-09,1,4,0.00790547,2,0,1.66533e-16,-4.68182,-8.07435e-16,-4.68182,0,8.07435e-16,maros-meszaros,maros-meszaros,
NASOQ-TUNED,hues-mod,10000,10000,2,20000,10000,10000,8,1e-06,2,2,1e-20,1e-11,1,554,38.8384,554,9.32232e-12,9.99201e-15,3.48245e+07,-2.07847e-12,3.48245e+07,0,4.67969e-13,maros-meszaros,maros-meszaros,
NASOQ-TUNED,huestis,10000,10000,2,20000,10000,10000,8,1e-06,2,2,1e-20,1e-11,1,554,40.2477,554,7.7307e-12,1.72804e-10,3.48245e+11,1.71089e-22,3.48245e+11,0,5.95482e-24,maros-meszaros,maros-meszaros,
NASOQ-TUNED,ksip,20,20,0,0,1001,19898,8,1e-06,0,0,1e-17,1e-11,2,39,0.825075,3,1.58762e-14,2.61612e-05,0.575798,2.50596e-15,0.575798,0,2.27641e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,laser,1002,3231,0,0,2000,6000,8,1e-06,2,2,1e-15,1e-09,1,2326,6.48015,932,2.84217e-13,5.40723e-12,2.4096e+06,6.85935e-10,2.4096e+06,1.42109e-14,3.89843e-10,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet10,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,10370,488.734,9306,6.77185e-317,6.72139e-317,405717,-815364,-409647,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet11,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,10700,325.411,8982,7.49692e-07,0.0025004,3.30886e+06,-6.62639e+06,-3.31753e+06,0,0.000698419,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet12,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,15495,560.048,9769,7.45991e-317,7.40944e-317,8.70194e+07,-1.73816e+08,-8.67967e+07,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet1,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,9662,371.282,8802,1.12806e-316,1.12302e-316,343908,-691907,-347999,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet2,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,9990,284.66,9686,4.60488e-08,0.00074683,-1663.5,-20.1988,-1683.7,0,1.08637e-09,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet3,10002,10002,0,0,10000,30000,8,1e-06,2,2,1e-20,1e-11,1,9669,111.055,9631,9.9709e-07,8.99281e-15,-1000.26,-6.66781e-15,-1000.26,0,1.0404e-14,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet4,10002,10002,0,0,10000,30000,8,1e-06,2,2,1e-20,1e-11,1,9691,111.718,9631,9.77541e-07,1.99007e-14,-714.516,4.47726e-16,-714.516,0,6.56467e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet5,10002,10002,0,0,10000,30000,8,1e-06,2,2,1e-20,1e-11,1,9688,114.318,9638,9.97935e-07,1.18794e-14,-15976.2,-1.48783e-14,-15976.2,0,4.12459e-14,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet6,10002,10002,0,0,10000,30000,8,1e-06,2,2,1e-20,1e-11,1,9736,113.335,9664,9.97696e-07,2.54796e-14,-2162.22,4.14294e-15,-2162.22,0,1.60295e-14,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet7,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,10197,456.909,9447,1.74671e-316,1.74166e-316,77101.9,-158995,-81893.3,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet8,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,11046,509.671,9354,9.80537e-317,9.7549e-317,4.02906e+06,-8.05255e+06,-4.02349e+06,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,liswet9,10002,10002,0,0,10000,30000,8,1e-06,0,0,1e-17,1e-11,0,12006,523.984,9098,8.04476e-317,7.99429e-317,8.60027e+07,-1.71785e+08,-8.57823e+07,4.94313e-320,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,mosarqp1,2500,2545,0,0,3200,5922,8,1e-06,2,2,1e-15,1e-09,1,1518,4.3539,1488,3.38618e-15,7.88258e-14,-952.875,1.79827e-14,-952.875,0,1.56812e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,mosarqp2,900,945,0,0,1500,3830,8,1e-06,2,2,1e-15,1e-09,1,332,0.709366,332,1.55431e-15,1.0747e-13,-1597.48,2.9256e-14,-1597.48,0,6.31037e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,powell20,10000,10000,0,0,11808,23616,8,1e-06,2,2,1e-20,1e-11,1,9999,85.085,9999,2.72848e-11,1.45256e-07,5.20896e+10,0.000562552,5.20896e+10,0,0.000125915,maros-meszaros,maros-meszaros,
NASOQ-TUNED,qpcblend,83,83,43,298,114,276,8,1e-06,2,2,1e-15,1e-09,1,66,0.0738036,38,1.42594e-15,7.31186e-15,-0.00784254,4.71327e-17,-0.00784254,0,4.76191e-17,maros-meszaros,maros-meszaros,
NASOQ-TUNED,qpcboei1,384,384,9,168,971,4191,8,1e-06,2,2,1e-15,1e-09,1,440,0.931802,260,1.06581e-12,4.8567e-10,1.15039e+07,-4.88017e-09,1.15039e+07,4.44089e-16,3.40308e-09,maros-meszaros,maros-meszaros,
NASOQ-TUNED,qpcboei2,143,143,4,56,380,1527,8,1e-06,2,2,1e-15,1e-09,1,194,0.197913,102,1.02492e-10,3.36332e-07,8.17196e+06,-1.41099e-07,8.17196e+06,7.10543e-15,5.30448e-07,maros-meszaros,maros-meszaros,
NASOQ-TUNED,qpcstair,467,467,291,1456,532,2867,8,1e-06,2,2,1e-15,1e-09,1,233,0.820351,111,2.98428e-13,1.89175e-10,6.20439e+06,7.24163e-11,6.20439e+06,1.13687e-13,3.15538e-10,maros-meszaros,maros-meszaros,
NASOQ-TUNED,qptest,2,3,0,0,5,7,8,1e-06,2,2,1e-15,1e-09,1,1,0.00578092,1,0,0,4.37187,0,4.37187,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,s268,5,15,0,0,5,25,8,1e-06,2,2,1e-15,1e-09,1,0,0.00578529,0,3.03757e-11,7.27596e-12,-14463,0,-14463,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,stcqp1,4097,26603,2052,13338,8194,8194,8,1e-06,2,2,1e-15,1e-09,1,346,8.18952,346,1.28335e-11,3.5343e-09,155144,-2.9138e-14,155144,0,5.77316e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,stcqp2,4097,26603,2052,13338,8194,8194,8,1e-06,2,2,1e-15,1e-09,1,105,2.92604,105,3.55271e-15,3.69482e-13,22327.3,-2.51999e-15,22327.3,0,2.51999e-15,maros-meszaros,maros-meszaros,
NASOQ-TUNED,tame,2,3,1,2,2,2,8,1e-06,2,2,1e-15,1e-09,1,0,0.00922789,0,0,0,0,0,0,0,0,maros-meszaros,maros-meszaros,
NASOQ-TUNED,yao,2002,2002,2,2,2001,6001,8,1e-06,0,0,1e-17,1e-11,0,1999,15.6763,1999,4.46265e-11,0.0107677,902.479,-1472.48,-569.999,0,0.00187035,maros-meszaros,maros-meszaros,
