Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,knight_falling0,7425,127764,N/A,N/A,34,102,8,0.001,N/A,N/A,N/A,N/A,solved,50,0.168932,N/A,6.32129e-06,0.00101296,-1016.02,N/A,N/A,2.51067e-06,6.32129e-06,contact simulation,computer graphics,
OSQP,knight_falling1,7425,127764,N/A,N/A,131,393,8,0.001,N/A,N/A,N/A,N/A,solved,100,0.264034,N/A,1.08353e-06,0.000203281,-616.947,N/A,N/A,5.6816e-06,1.08353e-06,contact simulation,computer graphics,
OSQP,knight_knight0,14850,255528,N/A,N/A,30,720,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.206167,N/A,1.91491e-05,0.000437524,-665.257,N/A,N/A,2.46838e-06,1.91491e-05,contact simulation,computer graphics,
OSQP,knight_knight10,14850,255528,N/A,N/A,240,5760,8,0.001,N/A,N/A,N/A,N/A,solved,75,0.310791,N/A,0.00263554,0.00189307,-574.973,N/A,N/A,0.000389155,0.00263554,contact simulation,computer graphics,
OSQP,knight_knight11,14850,255528,N/A,N/A,234,5616,8,0.001,N/A,N/A,N/A,N/A,solved,150,0.429198,N/A,0.000942724,0.000380325,-555.61,N/A,N/A,0.000294359,0.000942724,contact simulation,computer graphics,
OSQP,knight_knight12,14850,255528,N/A,N/A,240,5760,8,0.001,N/A,N/A,N/A,N/A,solved,150,0.428352,N/A,0.00492857,0.000308574,-535.516,N/A,N/A,0.00161172,0.00492857,contact simulation,computer graphics,
OSQP,knight_knight13,14850,255528,N/A,N/A,213,5112,8,0.001,N/A,N/A,N/A,N/A,solved,275,0.605059,N/A,0.00401209,9.51095e-05,-514.461,N/A,N/A,0.000806053,0.00401209,contact simulation,computer graphics,
OSQP,knight_knight14,14850,255528,N/A,N/A,270,6480,8,0.001,N/A,N/A,N/A,N/A,solved,100,0.35776,N/A,0.00388019,1.99403e-05,-492.318,N/A,N/A,0.000238337,0.00388019,contact simulation,computer graphics,
OSQP,knight_knight15,14850,255528,N/A,N/A,231,5544,8,0.001,N/A,N/A,N/A,N/A,solved,125,0.391202,N/A,0.00412401,0.000280282,-471.148,N/A,N/A,0.000443327,0.00412401,contact simulation,computer graphics,
OSQP,knight_knight16,14850,255528,N/A,N/A,300,7200,8,0.001,N/A,N/A,N/A,N/A,solved,125,0.403339,N/A,0.00657433,0.000806436,-451.152,N/A,N/A,0.000711075,0.00505333,contact simulation,computer graphics,
OSQP,knight_knight17,14850,255528,N/A,N/A,312,7488,8,0.001,N/A,N/A,N/A,N/A,solved,125,0.394978,N/A,0.00211308,6.02518e-06,-432.101,N/A,N/A,0.000162568,0.00211308,contact simulation,computer graphics,
OSQP,knight_knight18,14850,255528,N/A,N/A,222,5328,8,0.001,N/A,N/A,N/A,N/A,solved,325,0.70396,N/A,0.000249069,0.00165811,-417.891,N/A,N/A,4.01484e-05,0.000249069,contact simulation,computer graphics,
