Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,arma1_arma0,19158,338718,N/A,N/A,156,3744,8,1e-06,N/A,N/A,N/A,N/A,solved,150,0.564689,N/A,2.6374e-06,2.33788e-06,-1613.63,N/A,N/A,2.17637e-07,2.6374e-06,contact simulation,computer graphics,
OSQP,arma1_arma10,19158,338718,N/A,N/A,123,2952,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.346563,N/A,1.21156e-06,3.18351e-06,-1552.36,N/A,N/A,2.02558e-07,1.21156e-06,contact simulation,computer graphics,
OSQP,arma1_arma11,19158,338718,N/A,N/A,174,4176,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.436,N/A,1.68214e-06,3.91562e-06,-1547,N/A,N/A,1.42833e-07,1.68214e-06,contact simulation,computer graphics,
OSQP,arma1_arma12,19158,338718,N/A,N/A,180,4320,8,1e-06,N/A,N/A,N/A,N/A,solved,850,1.79435,N/A,4.96148e-07,7.12848e-07,-1542.27,N/A,N/A,6.2746e-07,4.96148e-07,contact simulation,computer graphics,
OSQP,arma1_arma13,19158,338718,N/A,N/A,102,2448,8,1e-06,N/A,N/A,N/A,N/A,solved,1450,2.93396,N/A,3.81803e-06,3.03171e-07,-1538.5,N/A,N/A,9.85592e-06,3.81803e-06,contact simulation,computer graphics,
OSQP,arma1_arma14,19158,338718,N/A,N/A,129,3096,8,1e-06,N/A,N/A,N/A,N/A,solved,375,0.993952,N/A,7.96446e-08,5.38184e-06,-1530.67,N/A,N/A,9.60286e-08,7.96446e-08,contact simulation,computer graphics,
OSQP,arma1_arma15,19158,338718,N/A,N/A,87,2088,8,1e-06,N/A,N/A,N/A,N/A,solved,225,0.601593,N/A,6.48099e-07,1.4751e-06,-1528.78,N/A,N/A,9.38331e-08,6.48099e-07,contact simulation,computer graphics,
OSQP,arma1_arma1,19158,338718,N/A,N/A,165,3960,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.414972,N/A,7.35417e-07,7.05205e-07,-1597.66,N/A,N/A,2.22754e-08,7.35417e-07,contact simulation,computer graphics,
OSQP,arma1_arma2,19158,338718,N/A,N/A,156,3744,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.425435,N/A,3.41978e-07,6.72197e-07,-1588.2,N/A,N/A,2.49138e-08,3.41978e-07,contact simulation,computer graphics,
OSQP,arma1_arma3,19158,338718,N/A,N/A,138,3312,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.436903,N/A,1.13343e-06,2.70628e-06,-1583.04,N/A,N/A,4.94064e-08,1.13343e-06,contact simulation,computer graphics,
OSQP,arma1_arma4,19158,338718,N/A,N/A,186,4464,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.59327,N/A,5.00018e-07,3.57088e-06,-1578.16,N/A,N/A,1.63572e-08,5.00018e-07,contact simulation,computer graphics,
OSQP,arma1_arma5,19158,338718,N/A,N/A,186,4464,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.623304,N/A,2.92683e-07,1.44468e-07,-1573.35,N/A,N/A,4.02153e-08,2.92683e-07,contact simulation,computer graphics,
OSQP,arma1_arma6,19158,338718,N/A,N/A,132,3168,8,1e-06,N/A,N/A,N/A,N/A,solved,250,0.739749,N/A,4.79371e-07,2.77897e-06,-1569.38,N/A,N/A,3.20084e-08,4.79371e-07,contact simulation,computer graphics,
OSQP,arma1_arma7,19158,338718,N/A,N/A,144,3456,8,1e-06,N/A,N/A,N/A,N/A,solved,225,0.687356,N/A,5.91136e-07,1.71012e-06,-1563.42,N/A,N/A,4.66552e-08,5.91136e-07,contact simulation,computer graphics,
OSQP,arma1_arma8,19158,338718,N/A,N/A,87,2088,8,1e-06,N/A,N/A,N/A,N/A,solved,350,0.865334,N/A,2.02621e-07,4.90367e-06,-1559.32,N/A,N/A,1.0886e-08,2.02621e-07,contact simulation,computer graphics,
OSQP,arma1_arma9,19158,338718,N/A,N/A,57,1368,8,1e-06,N/A,N/A,N/A,N/A,solved,350,0.889701,N/A,6.22798e-07,5.91944e-06,-1557.02,N/A,N/A,1.58488e-07,6.22798e-07,contact simulation,computer graphics,
