Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,beam_floor0,1572,25662,N/A,N/A,11,33,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0824519,N/A,3.12869e-11,8.86757e-12,-726926,N/A,N/A,1.05978e-08,3.12869e-11,contact simulation,computer graphics,
OSQP,beam_floor130,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.109396,N/A,7.27757e-10,0.000597217,-318211,N/A,N/A,4.87913e-08,7.27757e-10,contact simulation,computer graphics,
OSQP,beam_floor131,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.111701,N/A,9.66207e-10,0.000793489,-320863,N/A,N/A,6.0283e-08,9.66207e-10,contact simulation,computer graphics,
OSQP,beam_floor132,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0855132,N/A,6.6728e-11,1.93076e-08,-323525,N/A,N/A,9.70215e-10,6.6728e-11,contact simulation,computer graphics,
OSQP,beam_floor133,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0795068,N/A,8.90741e-07,3.40643e-06,-326182,N/A,N/A,2.21802e-05,8.90741e-07,contact simulation,computer graphics,
OSQP,beam_floor134,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0811997,N/A,8.67491e-07,6.11351e-11,-328827,N/A,N/A,2.23664e-05,8.67491e-07,contact simulation,computer graphics,
OSQP,beam_floor135,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0821329,N/A,8.39961e-07,6.0087e-11,-331453,N/A,N/A,2.30482e-05,8.39961e-07,contact simulation,computer graphics,
OSQP,beam_floor136,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0822582,N/A,8.2002e-07,6.02789e-11,-334062,N/A,N/A,2.4178e-05,8.2002e-07,contact simulation,computer graphics,
OSQP,beam_floor137,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0797208,N/A,7.9842e-07,6.13269e-11,-336657,N/A,N/A,2.52299e-05,7.9842e-07,contact simulation,computer graphics,
OSQP,beam_floor138,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0788655,N/A,7.84185e-07,5.91989e-11,-339243,N/A,N/A,2.61439e-05,7.84185e-07,contact simulation,computer graphics,
OSQP,beam_floor139,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0740809,N/A,7.98732e-07,5.55342e-11,-341829,N/A,N/A,2.68713e-05,7.98732e-07,contact simulation,computer graphics,
OSQP,beam_floor140,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0739595,N/A,8.28199e-07,6.2423e-11,-344424,N/A,N/A,2.7378e-05,8.28199e-07,contact simulation,computer graphics,
OSQP,beam_floor141,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0726116,N/A,8.4997e-07,5.86322e-11,-347036,N/A,N/A,2.76466e-05,8.4997e-07,contact simulation,computer graphics,
OSQP,beam_floor142,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0739386,N/A,8.63205e-07,6.00284e-11,-349672,N/A,N/A,2.76776e-05,8.63205e-07,contact simulation,computer graphics,
OSQP,beam_floor143,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.074457,N/A,8.67732e-07,6.30571e-11,-352337,N/A,N/A,2.74929e-05,8.67732e-07,contact simulation,computer graphics,
OSQP,beam_floor144,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0742659,N/A,8.6397e-07,6.23057e-11,-355033,N/A,N/A,2.71264e-05,8.6397e-07,contact simulation,computer graphics,
OSQP,beam_floor145,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0755585,N/A,8.52832e-07,5.9222e-11,-357759,N/A,N/A,2.67206e-05,8.52832e-07,contact simulation,computer graphics,
OSQP,beam_floor146,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0756894,N/A,8.35638e-07,5.88543e-11,-360511,N/A,N/A,2.63928e-05,8.35638e-07,contact simulation,computer graphics,
OSQP,beam_floor147,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0751618,N/A,8.13947e-07,6.05738e-11,-363283,N/A,N/A,2.60317e-05,8.13947e-07,contact simulation,computer graphics,
OSQP,beam_floor148,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0755183,N/A,7.9083e-07,5.57208e-11,-366070,N/A,N/A,2.58741e-05,7.9083e-07,contact simulation,computer graphics,
OSQP,beam_floor149,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0750765,N/A,8.18064e-07,6.08082e-11,-368863,N/A,N/A,2.54042e-05,8.18064e-07,contact simulation,computer graphics,
OSQP,beam_floor150,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0735961,N/A,8.36872e-07,6.01048e-11,-371656,N/A,N/A,2.4694e-05,8.36872e-07,contact simulation,computer graphics,
OSQP,beam_floor151,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0755034,N/A,8.46866e-07,5.88294e-11,-374445,N/A,N/A,2.3832e-05,8.46866e-07,contact simulation,computer graphics,
OSQP,beam_floor152,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0754274,N/A,8.4836e-07,5.94778e-11,-377229,N/A,N/A,2.29101e-05,8.4836e-07,contact simulation,computer graphics,
OSQP,beam_floor153,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0734652,N/A,8.42246e-07,5.80567e-11,-380007,N/A,N/A,2.23169e-05,8.42246e-07,contact simulation,computer graphics,
OSQP,beam_floor154,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0739374,N/A,8.29864e-07,5.83942e-11,-382783,N/A,N/A,2.21673e-05,8.29864e-07,contact simulation,computer graphics,
OSQP,beam_floor155,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.074273,N/A,8.12823e-07,5.87574e-11,-385562,N/A,N/A,2.22447e-05,8.12823e-07,contact simulation,computer graphics,
OSQP,beam_floor156,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0752172,N/A,7.97529e-07,5.99343e-11,-388349,N/A,N/A,2.23069e-05,7.97529e-07,contact simulation,computer graphics,
OSQP,beam_floor157,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0739232,N/A,7.85444e-07,5.62963e-11,-391149,N/A,N/A,2.23407e-05,7.85444e-07,contact simulation,computer graphics,
OSQP,beam_floor158,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0739899,N/A,7.72161e-07,5.56852e-11,-393968,N/A,N/A,2.23398e-05,7.72161e-07,contact simulation,computer graphics,
