Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,cube_floor100,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0365446,N/A,8.08554e-07,4.09863e-14,-7.53618,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor101,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0351571,N/A,8.08554e-07,4.14113e-14,-7.61099,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor102,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0348571,N/A,3.17679e-12,2.76298e-12,-7.68616,N/A,N/A,1.18557e-13,3.17679e-12,contact simulation,computer graphics,
OSQP,cube_floor103,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0346506,N/A,3.1769e-12,1.37976e-12,-7.76169,N/A,N/A,1.18561e-13,3.1769e-12,contact simulation,computer graphics,
OSQP,cube_floor104,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0350849,N/A,3.17701e-12,1.56548e-12,-7.8376,N/A,N/A,1.1854e-13,3.17701e-12,contact simulation,computer graphics,
OSQP,cube_floor105,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0350902,N/A,8.08554e-07,4.59632e-14,-7.91388,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor106,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0330541,N/A,8.08554e-07,4.31686e-14,-7.99053,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor107,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0343547,N/A,3.17679e-12,1.91681e-12,-8.06754,N/A,N/A,1.18528e-13,3.17679e-12,contact simulation,computer graphics,
OSQP,cube_floor108,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0340902,N/A,8.08554e-07,3.96905e-14,-8.14493,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor109,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.029912,N/A,8.08554e-07,2.96568e-14,-8.22269,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor10,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0339966,N/A,8.08554e-07,2.29816e-14,-2.31678,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor110,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0388447,N/A,8.08554e-07,3.4972e-14,-8.30081,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor111,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0360244,N/A,8.08554e-07,4.19664e-14,-8.37931,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor112,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0361325,N/A,3.17779e-12,2.02971e-12,-8.45817,N/A,N/A,1.18548e-13,3.17779e-12,contact simulation,computer graphics,
OSQP,cube_floor113,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.034254,N/A,8.08554e-07,4.17444e-14,-8.5374,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor114,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0350919,N/A,8.08554e-07,5.12368e-14,-8.617,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor115,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0355139,N/A,8.08554e-07,5.25829e-14,-8.69698,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor116,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0403621,N/A,8.08554e-07,5.85643e-14,-8.77732,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor117,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0377873,N/A,8.08554e-07,7.42314e-14,-8.85803,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor118,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0349982,N/A,8.08554e-07,5.01821e-14,-8.93911,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor119,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0347401,N/A,3.17713e-12,5.65731e-12,-9.02056,N/A,N/A,1.18519e-13,3.17713e-12,contact simulation,computer graphics,
OSQP,cube_floor11,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0358408,N/A,8.08554e-07,2.72837e-14,-2.35834,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor120,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0373601,N/A,8.08554e-07,3.9746e-14,-9.10238,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor121,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0362252,N/A,8.08554e-07,5.58347e-14,-9.18456,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor122,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0346209,N/A,8.08554e-07,6.50036e-14,-9.26712,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor123,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0353748,N/A,8.08554e-07,6.03961e-14,-9.35005,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor124,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0351207,N/A,8.08554e-07,5.4623e-14,-9.43334,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor125,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0350964,N/A,3.17757e-12,2.89879e-12,-9.51701,N/A,N/A,1.18565e-13,3.17757e-12,contact simulation,computer graphics,
OSQP,cube_floor126,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.035615,N/A,8.08554e-07,4.17434e-14,-9.60104,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor127,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0348826,N/A,8.08554e-07,4.23424e-14,-9.68545,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor128,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0373757,N/A,8.08554e-07,3.03958e-14,-9.77022,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor129,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0369867,N/A,8.08554e-07,7.35675e-14,-9.85537,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor12,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0353951,N/A,8.08554e-07,3.50553e-14,-2.40026,N/A,N/A,3.01645e-08,8.08554e-07,contact simulation,computer graphics,
OSQP,cube_floor130,24,219,N/A,N/A,4,12,8,1e-06,N/A,N/A,N/A,N/A,solved,450,0.0346678,N/A,3.17757e-12,5.58966e-12,-9.94088,N/A,N/A,1.18594e-13,3.17757e-12,contact simulation,computer graphics,
