Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,garg2_garg20,28638,533088,N/A,N/A,171,4104,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.939327,N/A,1.09132e-06,1.39046e-07,-931.297,N/A,N/A,6.20846e-08,1.09132e-06,contact simulation,computer graphics,
OSQP,garg2_garg210,28638,533088,N/A,N/A,882,21168,8,1e-06,N/A,N/A,N/A,N/A,solved,3875,13.0299,N/A,1.67368e-07,1.72787e-06,-406.206,N/A,N/A,1.28796e-08,1.67368e-07,contact simulation,computer graphics,
OSQP,garg2_garg211,28638,533088,N/A,N/A,777,18648,8,1e-06,N/A,N/A,N/A,N/A,solved,575,2.03947,N/A,1.46941e-07,1.75847e-06,-384.642,N/A,N/A,2.15295e-08,1.46941e-07,contact simulation,computer graphics,
OSQP,garg2_garg212,28638,533088,N/A,N/A,870,20880,8,1e-06,N/A,N/A,N/A,N/A,solved,1450,5.2337,N/A,2.51052e-06,1.5515e-07,-376.217,N/A,N/A,2.0349e-07,2.51052e-06,contact simulation,computer graphics,
OSQP,garg2_garg213,28638,533088,N/A,N/A,891,21384,8,1e-06,N/A,N/A,N/A,N/A,solved,9950,29.1799,N/A,1.2205e-06,1.01637e-06,-381.646,N/A,N/A,1.74841e-07,1.2205e-06,contact simulation,computer graphics,
OSQP,garg2_garg214,28638,533088,N/A,N/A,918,22032,8,1e-06,N/A,N/A,N/A,N/A,solved,26725,82.0873,N/A,2.28602e-06,1.77293e-06,-396.388,N/A,N/A,8.44473e-06,2.28602e-06,contact simulation,computer graphics,
OSQP,garg2_garg21,28638,533088,N/A,N/A,204,4896,8,1e-06,N/A,N/A,N/A,N/A,solved,350,1.33337,N/A,3.05618e-07,1.03476e-06,-902.368,N/A,N/A,1.9001e-08,3.05618e-07,contact simulation,computer graphics,
OSQP,garg2_garg22,28638,533088,N/A,N/A,228,5472,8,1e-06,N/A,N/A,N/A,N/A,solved,475,1.90802,N/A,3.09038e-06,8.12423e-08,-870.292,N/A,N/A,3.41379e-08,3.09038e-06,contact simulation,computer graphics,
OSQP,garg2_garg23,28638,533088,N/A,N/A,348,8352,8,1e-06,N/A,N/A,N/A,N/A,solved,700,2.3972,N/A,3.13358e-06,2.06335e-07,-829.102,N/A,N/A,8.72032e-07,3.13358e-06,contact simulation,computer graphics,
OSQP,garg2_garg24,28638,533088,N/A,N/A,438,10512,8,1e-06,N/A,N/A,N/A,N/A,solved,225,1.00722,N/A,1.56571e-07,1.06022e-06,-766.543,N/A,N/A,2.62914e-08,1.56571e-07,contact simulation,computer graphics,
OSQP,garg2_garg25,28638,533088,N/A,N/A,531,12744,8,1e-06,N/A,N/A,N/A,N/A,solved,900,3.07126,N/A,2.10137e-06,1.8018e-06,-698.074,N/A,N/A,6.18995e-08,2.10137e-06,contact simulation,computer graphics,
OSQP,garg2_garg26,28638,533088,N/A,N/A,618,14832,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.982882,N/A,2.3657e-06,5.32847e-07,-623.141,N/A,N/A,3.63739e-07,2.3657e-06,contact simulation,computer graphics,
OSQP,garg2_garg27,28638,533088,N/A,N/A,636,15264,8,1e-06,N/A,N/A,N/A,N/A,solved,775,2.71905,N/A,4.59725e-07,4.8318e-07,-554.255,N/A,N/A,7.41913e-08,4.59725e-07,contact simulation,computer graphics,
OSQP,garg2_garg28,28638,533088,N/A,N/A,759,18216,8,1e-06,N/A,N/A,N/A,N/A,solved,625,2.21531,N/A,1.93715e-07,3.93766e-07,-492.095,N/A,N/A,3.30348e-08,1.93715e-07,contact simulation,computer graphics,
OSQP,garg2_garg29,28638,533088,N/A,N/A,654,15696,8,1e-06,N/A,N/A,N/A,N/A,solved,850,3.01056,N/A,2.22691e-06,2.62553e-07,-444.561,N/A,N/A,5.32683e-07,2.22691e-06,contact simulation,computer graphics,
OSQP,garg3_floor0,29841,548823,N/A,N/A,216,648,8,1e-06,N/A,N/A,N/A,N/A,solved,225,1.13038,N/A,8.78991e-09,3.89712e-06,-918.771,N/A,N/A,4.12923e-08,8.78991e-09,contact simulation,computer graphics,
OSQP,garg3_garg30,59682,1097646,N/A,N/A,234,5616,8,1e-06,N/A,N/A,N/A,N/A,solved,150,1.76001,N/A,2.68535e-07,5.17859e-07,-934.145,N/A,N/A,1.42867e-08,2.68535e-07,contact simulation,computer graphics,
OSQP,garg_floor0,14319,266544,N/A,N/A,80,240,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.395049,N/A,2.12763e-09,1.58849e-06,-898.597,N/A,N/A,8.99337e-09,2.12763e-09,contact simulation,computer graphics,
OSQP,garg_floor10,14319,266544,N/A,N/A,34,102,8,1e-06,N/A,N/A,N/A,N/A,solved,275,0.715034,N/A,1.21351e-10,1.05521e-06,-167.171,N/A,N/A,1.19419e-10,1.21351e-10,contact simulation,computer graphics,
OSQP,garg_floor11,14319,266544,N/A,N/A,18,54,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.458118,N/A,1.70327e-10,1.48766e-07,-173.421,N/A,N/A,2.33301e-10,1.70327e-10,contact simulation,computer graphics,
OSQP,garg_floor12,14319,266544,N/A,N/A,21,63,8,1e-06,N/A,N/A,N/A,N/A,solved,150,0.438187,N/A,7.84185e-09,2.99731e-07,-175.02,N/A,N/A,1.06738e-08,7.84185e-09,contact simulation,computer graphics,
OSQP,garg_floor13,14319,266544,N/A,N/A,22,66,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.34046,N/A,1.85272e-08,5.04862e-07,-169.921,N/A,N/A,5.08684e-09,1.85272e-08,contact simulation,computer graphics,
OSQP,garg_floor14,14319,266544,N/A,N/A,9,27,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.259985,N/A,2.22045e-16,8.65399e-12,-167.554,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP,garg_floor15,14319,266544,N/A,N/A,1,3,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.23706,N/A,1.52656e-16,6.23157e-12,-167.16,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP,garg_floor16,14319,266544,N/A,N/A,8,24,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.29795,N/A,1.12434e-08,1.52445e-09,-167.432,N/A,N/A,4.45202e-09,1.12434e-08,contact simulation,computer graphics,
OSQP,garg_floor17,14319,266544,N/A,N/A,7,21,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.341378,N/A,2.68109e-11,1.22783e-08,-167.776,N/A,N/A,1.14937e-11,2.68109e-11,contact simulation,computer graphics,
OSQP,garg_floor18,14319,266544,N/A,N/A,6,18,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.28768,N/A,7.11157e-11,3.12177e-10,-168.639,N/A,N/A,4.36551e-11,3.67856e-11,contact simulation,computer graphics,
OSQP,garg_floor19,14319,266544,N/A,N/A,5,15,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.303052,N/A,1.21376e-07,9.00591e-12,-169.849,N/A,N/A,2.26684e-07,1.21376e-07,contact simulation,computer graphics,
OSQP,garg_floor1,14319,266544,N/A,N/A,125,375,8,1e-06,N/A,N/A,N/A,N/A,solved,225,0.551008,N/A,2.38359e-07,1.14221e-05,-287.449,N/A,N/A,2.11336e-06,2.38359e-07,contact simulation,computer graphics,
