Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,gargnested2_falling0,1035,18477,N/A,N/A,1,12,8,1e-06,N/A,N/A,N/A,N/A,solved,150,0.0839675,N/A,8.02647e-12,1.81188e-12,-1785.92,N/A,N/A,6.03871e-10,8.02647e-12,contact simulation,computer graphics,
OSQP,gargnested2_falling10,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0797496,N/A,3.9224e-10,4.99922e-09,-1370.35,N/A,N/A,8.42911e-10,3.9224e-10,contact simulation,computer graphics,
OSQP,gargnested2_falling11,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0792836,N/A,1.11129e-11,2.30489e-09,-1396.07,N/A,N/A,2.38705e-11,1.11129e-11,contact simulation,computer graphics,
OSQP,gargnested2_falling12,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.0857623,N/A,2.55759e-08,1.27262e-06,-1421.93,N/A,N/A,4.24538e-08,2.55759e-08,contact simulation,computer graphics,
OSQP,gargnested2_falling13,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,275,0.110644,N/A,7.64747e-10,1.43401e-06,-1448.13,N/A,N/A,1.19411e-09,7.64747e-10,contact simulation,computer graphics,
OSQP,gargnested2_falling14,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,475,0.151626,N/A,4.11953e-10,3.82677e-06,-1474.67,N/A,N/A,6.50771e-10,4.11953e-10,contact simulation,computer graphics,
OSQP,gargnested2_falling15,1035,18477,N/A,N/A,4,48,8,1e-06,N/A,N/A,N/A,N/A,solved,250,0.106086,N/A,2.83018e-09,3.85907e-06,-1487.55,N/A,N/A,5.69269e-09,2.83018e-09,contact simulation,computer graphics,
OSQP,gargnested2_falling16,1035,18477,N/A,N/A,4,48,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0774869,N/A,6.81983e-11,3.34257e-09,-1495.61,N/A,N/A,1.80106e-10,6.81983e-11,contact simulation,computer graphics,
OSQP,gargnested2_falling17,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0761637,N/A,1.03917e-13,2.04103e-12,-1512.88,N/A,N/A,7.12675e-13,1.03917e-13,contact simulation,computer graphics,
OSQP,gargnested2_falling18,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0708117,N/A,8.84315e-12,2.05569e-12,-1536.85,N/A,N/A,2.66293e-11,8.84315e-12,contact simulation,computer graphics,
OSQP,gargnested2_falling19,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0775235,N/A,4.89363e-08,1.77196e-11,-1560.71,N/A,N/A,1.2756e-07,4.89363e-08,contact simulation,computer graphics,
OSQP,gargnested2_falling1,1035,18477,N/A,N/A,5,60,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.0916496,N/A,3.84555e-09,1.61478e-07,-1506.52,N/A,N/A,2.0365e-07,3.84555e-09,contact simulation,computer graphics,
OSQP,gargnested2_falling20,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0773744,N/A,3.69256e-08,2.27862e-12,-1582.52,N/A,N/A,7.34383e-08,3.69256e-08,contact simulation,computer graphics,
