Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,lamb_falling0,2403,37998,N/A,N/A,10,30,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.13577,N/A,1.59205e-05,5.73737,-8.24047e+09,N/A,N/A,0.583684,1.59205e-05,contact simulation,computer graphics,
OSQP,lamb_lamb0,4806,75996,N/A,N/A,1323,31752,8,1e-06,N/A,N/A,N/A,N/A,solved,1675,1.9508,N/A,2.46893e-06,0.43685,-1.12375e+08,N/A,N/A,0.0180996,2.46893e-06,contact simulation,computer graphics,
OSQP,lamb_lamb10,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,575,0.757678,N/A,9.19331e-06,0.368273,-1.06764e+08,N/A,N/A,0.0137095,9.19331e-06,contact simulation,computer graphics,
OSQP,lamb_lamb11,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,475,0.633799,N/A,1.58638e-05,0.0541684,-1.06243e+08,N/A,N/A,0.0269369,1.58638e-05,contact simulation,computer graphics,
OSQP,lamb_lamb12,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,400,0.56533,N/A,4.79151e-06,0.467567,-1.05738e+08,N/A,N/A,0.00675647,4.79151e-06,contact simulation,computer graphics,
OSQP,lamb_lamb13,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,625,0.795458,N/A,4.99937e-06,0.420687,-1.05253e+08,N/A,N/A,0.00531653,4.99937e-06,contact simulation,computer graphics,
OSQP,lamb_lamb14,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,350,0.499635,N/A,2.14036e-05,0.212243,-1.04796e+08,N/A,N/A,0.0350389,2.14036e-05,contact simulation,computer graphics,
OSQP,lamb_lamb15,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,625,0.808106,N/A,1.1648e-05,0.0219858,-1.04367e+08,N/A,N/A,0.0221299,1.1648e-05,contact simulation,computer graphics,
OSQP,lamb_lamb16,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,650,0.842867,N/A,1.18912e-05,0.0963229,-1.03962e+08,N/A,N/A,0.0193234,1.18912e-05,contact simulation,computer graphics,
OSQP,lamb_lamb17,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,900,1.10505,N/A,1.82993e-06,0.585605,-1.03582e+08,N/A,N/A,0.000209828,1.82993e-06,contact simulation,computer graphics,
OSQP,lamb_lamb18,4806,75996,N/A,N/A,1326,31824,8,1e-06,N/A,N/A,N/A,N/A,solved,875,1.07045,N/A,1.26524e-05,0.199643,-1.03226e+08,N/A,N/A,0.0218095,1.26524e-05,contact simulation,computer graphics,
OSQP,lamb_lamb19,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,2025,2.36307,N/A,1.37323e-06,0.123626,-1.02894e+08,N/A,N/A,0.000705829,1.37323e-06,contact simulation,computer graphics,
OSQP,lamb_lamb1,4806,75996,N/A,N/A,1323,31752,8,1e-06,N/A,N/A,N/A,N/A,solved,750,0.92403,N/A,3.28458e-05,0.364222,-1.12019e+08,N/A,N/A,0.00446663,3.28458e-05,contact simulation,computer graphics,
OSQP,lamb_lamb20,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,875,1.07748,N/A,1.18754e-06,0.584399,-1.02583e+08,N/A,N/A,0.00206037,1.18754e-06,contact simulation,computer graphics,
OSQP,lamb_lamb21,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,1375,1.61655,N/A,1.32744e-05,0.532786,-1.02287e+08,N/A,N/A,0.00580139,1.32744e-05,contact simulation,computer graphics,
OSQP,lamb_lamb22,4806,75996,N/A,N/A,1332,31968,8,1e-06,N/A,N/A,N/A,N/A,solved,1525,1.76547,N/A,9.20536e-06,0.377533,-1.01994e+08,N/A,N/A,0.0114202,9.20536e-06,contact simulation,computer graphics,
OSQP,lamb_lamb23,4806,75996,N/A,N/A,1344,32256,8,1e-06,N/A,N/A,N/A,N/A,solved,650,0.856841,N/A,8.61004e-06,0.168205,-1.01683e+08,N/A,N/A,0.00591612,8.61004e-06,contact simulation,computer graphics,
