Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,aug2dcqp,20200,20200,N/A,N/A,30200,60200,8,1e-06,N/A,N/A,N/A,N/A,solved,850,10.8895,N/A,1.84591e-05,4.78354e-06,6.48804e+06,N/A,N/A,0.0513765,1.84591e-05,maros-meszaros,maros-meszaros,
OSQP,aug2dc,20200,20200,N/A,N/A,10000,40000,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.471036,N/A,7.22628e-10,1.33929e-09,1.80827e+06,N/A,N/A,1.70748e-08,0,maros-meszaros,maros-meszaros,
OSQP,aug3dcqp,3873,3873,N/A,N/A,4873,10419,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.150934,N/A,1.37542e-06,1.98155e-06,-943.138,N/A,N/A,1.6342e-06,1.37542e-06,maros-meszaros,maros-meszaros,
OSQP,aug3dc,3873,3873,N/A,N/A,1000,6546,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0891344,N/A,1.58372e-09,1.33905e-09,-1165.24,N/A,N/A,1.93219e-09,0,maros-meszaros,maros-meszaros,
OSQP,cont-050,2597,2597,N/A,N/A,4998,14602,8,1e-06,N/A,N/A,N/A,N/A,solved,1175,1.03308,N/A,1.79975e-06,1.09322e-08,-4.56385,N/A,N/A,4.15666e-07,1.79975e-06,maros-meszaros,maros-meszaros,
OSQP,cont-100,10197,10197,N/A,N/A,19998,59202,8,1e-06,N/A,N/A,N/A,N/A,solved,4575,27.9097,N/A,4.09485e-06,1.25052e-10,-4.6444,N/A,N/A,1.00743e-06,4.09485e-06,maros-meszaros,maros-meszaros,
OSQP,cont-200,40397,40397,N/A,N/A,79998,238402,8,1e-06,N/A,N/A,N/A,N/A,solved,18725,506.742,N/A,1.61704e-06,1.12834e-08,-4.68488,N/A,N/A,4.10311e-07,1.61704e-06,maros-meszaros,maros-meszaros,
OSQP,cont-201,40397,40397,N/A,N/A,80595,239596,8,1e-06,N/A,N/A,N/A,N/A,solved,14750,496.161,N/A,9.46858e-06,1.22573e-08,0.192511,N/A,N/A,6.36871e-07,9.46858e-06,maros-meszaros,maros-meszaros,
OSQP,dual1,85,3558,N/A,N/A,86,170,8,1e-06,N/A,N/A,N/A,N/A,solved,425,0.0473393,N/A,4.03666e-07,3.23884e-08,0.0350129,N/A,N/A,1.20671e-08,4.03666e-07,maros-meszaros,maros-meszaros,
OSQP,dual2,96,4508,N/A,N/A,97,192,8,1e-06,N/A,N/A,N/A,N/A,solved,375,0.0555271,N/A,3.25151e-07,9.78799e-09,0.0337337,N/A,N/A,6.74977e-09,3.25151e-07,maros-meszaros,maros-meszaros,
