Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP,test01_0,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.045281,N/A,1.77222e-09,8.21752e-08,11.3456,N/A,N/A,3.09246e-08,0,model predictive control,robotics,
OSQP,test01_10,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0451753,N/A,1.7731e-09,8.234e-08,5.00632,N/A,N/A,1.66806e-08,0,model predictive control,robotics,
OSQP,test01_11,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0452833,N/A,1.77317e-09,8.23796e-08,4.54745,N/A,N/A,1.55094e-08,0,model predictive control,robotics,
OSQP,test01_12,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0465828,N/A,1.77323e-09,8.2422e-08,4.11372,N/A,N/A,1.43915e-08,0,model predictive control,robotics,
OSQP,test01_13,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0430885,N/A,1.77329e-09,8.24669e-08,3.7064,N/A,N/A,1.33246e-08,0,model predictive control,robotics,
OSQP,test01_14,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0455773,N/A,1.77334e-09,8.25136e-08,3.32655,N/A,N/A,1.23062e-08,0,model predictive control,robotics,
OSQP,test01_15,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0425129,N/A,1.77338e-09,8.25615e-08,2.97486,N/A,N/A,1.13344e-08,0,model predictive control,robotics,
OSQP,test01_16,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0427441,N/A,1.77342e-09,8.261e-08,2.65167,N/A,N/A,1.04071e-08,0,model predictive control,robotics,
OSQP,test01_17,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0369703,N/A,1.77345e-09,8.26591e-08,2.35689,N/A,N/A,9.52282e-09,0,model predictive control,robotics,
OSQP,test01_18,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0339938,N/A,1.77348e-09,8.27076e-08,2.09003,N/A,N/A,8.6802e-09,0,model predictive control,robotics,
OSQP,test01_19,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0358489,N/A,1.7735e-09,8.27564e-08,1.85027,N/A,N/A,7.87808e-09,0,model predictive control,robotics,
OSQP,test01_1,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0373319,N/A,1.77227e-09,8.21751e-08,10.424,N/A,N/A,2.94622e-08,0,model predictive control,robotics,
OSQP,test01_2,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.04349,N/A,1.77235e-09,8.21761e-08,9.62579,N/A,N/A,2.79405e-08,0,model predictive control,robotics,
OSQP,test01_3,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0350712,N/A,1.77244e-09,8.21806e-08,8.91318,N/A,N/A,2.64014e-08,0,model predictive control,robotics,
OSQP,test01_4,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0370296,N/A,1.77254e-09,8.21889e-08,8.26048,N/A,N/A,2.48744e-08,0,model predictive control,robotics,
OSQP,test01_5,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0422661,N/A,1.77264e-09,8.22021e-08,7.65075,N/A,N/A,2.33795e-08,0,model predictive control,robotics,
OSQP,test01_6,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0424791,N/A,1.77274e-09,8.22201e-08,7.07336,N/A,N/A,2.19294e-08,0,model predictive control,robotics,
OSQP,test01_7,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.04509,N/A,1.77284e-09,8.2243e-08,6.52225,N/A,N/A,2.05319e-08,0,model predictive control,robotics,
OSQP,test01_8,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0430706,N/A,1.77293e-09,8.22713e-08,5.99443,N/A,N/A,1.91908e-08,0,model predictive control,robotics,
OSQP,test01_9,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0454876,N/A,1.77302e-09,8.23037e-08,5.48899,N/A,N/A,1.79072e-08,0,model predictive control,robotics,
OSQP,test02_0,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0436999,N/A,1.78632e-09,8.21751e-08,4.43058,N/A,N/A,1.07545e-08,0,model predictive control,robotics,
OSQP,test02_10,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0438015,N/A,1.77395e-09,8.26814e-08,2.41404,N/A,N/A,4.80797e-09,0,model predictive control,robotics,
OSQP,test02_11,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0439491,N/A,1.77396e-09,8.27556e-08,2.02075,N/A,N/A,3.99243e-09,0,model predictive control,robotics,
OSQP,test02_12,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0404495,N/A,1.77394e-09,8.28271e-08,1.69172,N/A,N/A,3.2297e-09,0,model predictive control,robotics,
OSQP,test02_13,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.035256,N/A,1.7739e-09,8.28959e-08,1.42018,N/A,N/A,2.51856e-09,0,model predictive control,robotics,
OSQP,test02_14,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.035239,N/A,1.77386e-09,8.2961e-08,1.19898,N/A,N/A,1.85838e-09,0,model predictive control,robotics,
OSQP,test02_15,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0344307,N/A,1.77383e-09,8.30223e-08,1.02119,N/A,N/A,1.24864e-09,0,model predictive control,robotics,
OSQP,test02_16,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0360439,N/A,1.7738e-09,8.308e-08,0.88031,N/A,N/A,6.91796e-10,0,model predictive control,robotics,
OSQP,test02_17,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0391234,N/A,1.77377e-09,8.31332e-08,0.770433,N/A,N/A,5.75704e-10,0,model predictive control,robotics,
OSQP,test02_18,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0358917,N/A,1.77374e-09,8.31826e-08,0.686283,N/A,N/A,4.77286e-10,0,model predictive control,robotics,
OSQP,test02_19,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0357277,N/A,1.7737e-09,8.3228e-08,0.623212,N/A,N/A,6.99947e-10,0,model predictive control,robotics,
OSQP,test02_1,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.035704,N/A,1.78303e-09,8.21752e-08,4.74602,N/A,N/A,1.22286e-08,0,model predictive control,robotics,
OSQP,test02_2,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.036344,N/A,1.77519e-09,8.21857e-08,5.32322,N/A,N/A,1.26757e-08,0,model predictive control,robotics,
OSQP,test02_3,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.034207,N/A,1.77392e-09,8.22147e-08,5.73814,N/A,N/A,1.20354e-08,0,model predictive control,robotics,
OSQP,test02_4,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0345928,N/A,1.77378e-09,8.22602e-08,5.67266,N/A,N/A,1.09555e-08,0,model predictive control,robotics,
OSQP,test02_5,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0354917,N/A,1.77375e-09,8.23176e-08,5.23953,N/A,N/A,9.79072e-09,0,model predictive control,robotics,
OSQP,test02_6,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0366375,N/A,1.77377e-09,8.23838e-08,4.63941,N/A,N/A,8.66227e-09,0,model predictive control,robotics,
OSQP,test02_7,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0352162,N/A,1.77381e-09,8.24554e-08,4.00722,N/A,N/A,7.60065e-09,0,model predictive control,robotics,
OSQP,test02_8,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0362549,N/A,1.77386e-09,8.25303e-08,3.41049,N/A,N/A,6.60771e-09,0,model predictive control,robotics,
OSQP,test02_9,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.034164,N/A,1.77391e-09,8.26061e-08,2.87684,N/A,N/A,5.67853e-09,0,model predictive control,robotics,
OSQP,test03_0,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.0479424,N/A,2.80689e-10,4.87118e-09,4.72421,N/A,N/A,2.30412e-11,2.80689e-10,model predictive control,robotics,
OSQP,test03_10,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0386948,N/A,1.76942e-09,8.26539e-08,2.49546,N/A,N/A,5.83813e-09,0,model predictive control,robotics,
OSQP,test03_11,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0377709,N/A,1.76976e-09,8.27256e-08,2.10397,N/A,N/A,4.97493e-09,0,model predictive control,robotics,
OSQP,test03_12,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0368191,N/A,1.76999e-09,8.27953e-08,1.77255,N/A,N/A,4.16805e-09,0,model predictive control,robotics,
OSQP,test03_13,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0358782,N/A,1.77013e-09,8.28624e-08,1.49559,N/A,N/A,3.41499e-09,0,model predictive control,robotics,
OSQP,test03_14,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0356375,N/A,1.77019e-09,8.29268e-08,1.26695,N/A,N/A,2.71454e-09,0,model predictive control,robotics,
OSQP,test03_15,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0353245,N/A,1.77018e-09,8.2987e-08,1.08049,N/A,N/A,2.06562e-09,0,model predictive control,robotics,
OSQP,test03_16,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0373984,N/A,1.7701e-09,8.30439e-08,0.930388,N/A,N/A,1.46716e-09,0,model predictive control,robotics,
OSQP,test03_17,185,185,N/A,N/A,245,2316,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0367687,N/A,1.76998e-09,8.30971e-08,0.811215,N/A,N/A,9.18071e-10,0,model predictive control,robotics,
