Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,lamb_falling0,2403,37998,N/A,N/A,10,30,8,0.001,N/A,N/A,N/A,N/A,solved,75,0.116589,N/A,2.25515e-11,1.86265e-09,-8.24047e+09,N/A,N/A,8.26676e-07,2.25515e-11,contact simulation,computer graphics,
OSQP-polished,lamb_lamb0,4806,75996,N/A,N/A,1323,31752,8,0.001,N/A,N/A,N/A,N/A,solved,450,0.76111,N/A,0.0133457,29.1452,-1.12376e+08,N/A,N/A,339.482,0.0133457,contact simulation,computer graphics,
OSQP-polished,lamb_lamb10,4806,75996,N/A,N/A,1326,31824,8,0.001,N/A,N/A,N/A,N/A,solved,150,0.339816,N/A,0.0181392,76.6668,-1.06764e+08,N/A,N/A,35.3691,0.0181392,contact simulation,computer graphics,
OSQP-polished,lamb_lamb11,4806,75996,N/A,N/A,1332,31968,8,0.001,N/A,N/A,N/A,N/A,solved,150,0.348759,N/A,0.0197156,64.6302,-1.06243e+08,N/A,N/A,25.0303,0.0197156,contact simulation,computer graphics,
OSQP-polished,lamb_lamb12,4806,75996,N/A,N/A,1332,31968,8,0.001,N/A,N/A,N/A,N/A,solved,125,0.329322,N/A,0.0210652,108.776,-1.05738e+08,N/A,N/A,24.4988,0.0210652,contact simulation,computer graphics,
OSQP-polished,lamb_lamb13,4806,75996,N/A,N/A,1332,31968,8,0.001,N/A,N/A,N/A,N/A,solved,125,0.324944,N/A,0.0220678,240.035,-1.05253e+08,N/A,N/A,37.4534,0.0220678,contact simulation,computer graphics,
OSQP-polished,lamb_lamb14,4806,75996,N/A,N/A,1326,31824,8,0.001,N/A,N/A,N/A,N/A,solved,200,0.421067,N/A,0.00389827,15.6358,-1.04796e+08,N/A,N/A,3.47214,0.00389827,contact simulation,computer graphics,
OSQP-polished,lamb_lamb15,4806,75996,N/A,N/A,1326,31824,8,0.001,N/A,N/A,N/A,N/A,solved,250,0.486846,N/A,0.0063611,32.9759,-1.04367e+08,N/A,N/A,6.20805,0.0063611,contact simulation,computer graphics,
OSQP-polished,lamb_lamb16,4806,75996,N/A,N/A,1326,31824,8,0.001,N/A,N/A,N/A,N/A,solved,250,0.480769,N/A,0.0059608,37.2395,-1.03962e+08,N/A,N/A,5.60292,0.0059608,contact simulation,computer graphics,
OSQP-polished,lamb_lamb17,4806,75996,N/A,N/A,1326,31824,8,0.001,N/A,N/A,N/A,N/A,solved,250,0.479815,N/A,0.00544067,177.749,-1.03582e+08,N/A,N/A,5.45538,0.00544067,contact simulation,computer graphics,
