Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,aug2dcqp,20200,20200,N/A,N/A,30200,60200,8,0.001,N/A,N/A,N/A,N/A,solved,775,8.68322,N/A,2.88068e-11,1.36069e-12,6.48803e+06,N/A,N/A,8.01766e-08,2.88068e-11,maros-meszaros,maros-meszaros,
OSQP-polished,aug2dc,20200,20200,N/A,N/A,10000,40000,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.413506,N/A,1.14575e-13,1.74971e-13,1.80827e+06,N/A,N/A,8.58867e-11,0,maros-meszaros,maros-meszaros,
OSQP-polished,aug3dcqp,3873,3873,N/A,N/A,4873,10419,8,0.001,N/A,N/A,N/A,N/A,solved,75,0.156544,N/A,1.77636e-15,2.88658e-15,-943.138,N/A,N/A,6.72328e-15,6.08377e-20,maros-meszaros,maros-meszaros,
OSQP-polished,aug3dc,3873,3873,N/A,N/A,1000,6546,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.0989112,N/A,1.77636e-15,2.66454e-15,-1165.24,N/A,N/A,4.71748e-15,0,maros-meszaros,maros-meszaros,
OSQP-polished,cont-050,2597,2597,N/A,N/A,4998,14602,8,0.001,N/A,N/A,N/A,N/A,solved,300,0.356427,N/A,0.00365531,2.31898e-06,-4.5647,N/A,N/A,0.000146268,0.00365531,maros-meszaros,maros-meszaros,
OSQP-polished,cont-100,10197,10197,N/A,N/A,19998,59202,8,0.001,N/A,N/A,N/A,N/A,solved,750,4.29574,N/A,0.00376369,7.75852e-07,-4.64535,N/A,N/A,4.05666e-05,0.00376369,maros-meszaros,maros-meszaros,
OSQP-polished,cont-200,40397,40397,N/A,N/A,79998,238402,8,0.001,N/A,N/A,N/A,N/A,solved,9525,317.552,N/A,0.00443851,1.08363e-08,-4.67344,N/A,N/A,5.38811e-05,0.0038438,maros-meszaros,maros-meszaros,
OSQP-polished,cont-201,40397,40397,N/A,N/A,80595,239596,8,0.001,N/A,N/A,N/A,N/A,solved,2625,72.0748,N/A,0.0091635,1.47393e-07,1.83083,N/A,N/A,0.00112946,0.0091635,maros-meszaros,maros-meszaros,
OSQP-polished,dual1,85,3558,N/A,N/A,86,170,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.0543082,N/A,0.00194621,0.00048085,0.0346983,N/A,N/A,2.74613e-05,0.00194621,maros-meszaros,maros-meszaros,
OSQP-polished,dual2,96,4508,N/A,N/A,97,192,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.054797,N/A,0.00108342,0.000473968,0.0336737,N/A,N/A,1.11048e-05,0.00108342,maros-meszaros,maros-meszaros,
OSQP-polished,dual3,111,6108,N/A,N/A,112,222,8,0.001,N/A,N/A,N/A,N/A,solved,25,0.041123,N/A,0.00111407,0.0004744,0.135501,N/A,N/A,4.46257e-05,0.00111407,maros-meszaros,maros-meszaros,
OSQP-polished,dual4,75,2799,N/A,N/A,76,150,8,0.001,N/A,N/A,N/A,N/A,solved,400,0.0551827,N/A,0.00196119,9.90236e-08,0.743269,N/A,N/A,0.000349678,0.00196119,maros-meszaros,maros-meszaros,
