Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,arma1_arma0,19158,338718,N/A,N/A,156,3744,8,1e-06,N/A,N/A,N/A,N/A,solved,150,0.673766,N/A,2.6374e-06,2.33788e-06,-1613.63,N/A,N/A,2.17637e-07,2.6374e-06,contact simulation,computer graphics,
OSQP-polished,arma1_arma10,19158,338718,N/A,N/A,123,2952,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.493219,N/A,5.60386e-16,7.10543e-15,-1552.36,N/A,N/A,4.02747e-17,5.60386e-16,contact simulation,computer graphics,
OSQP-polished,arma1_arma11,19158,338718,N/A,N/A,174,4176,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.538634,N/A,1.08802e-14,1.49031e-13,-1547,N/A,N/A,4.29952e-16,1.08802e-14,contact simulation,computer graphics,
OSQP-polished,arma1_arma12,19158,338718,N/A,N/A,180,4320,8,1e-06,N/A,N/A,N/A,N/A,solved,850,2.00594,N/A,1.43219e-14,1.53488e-13,-1542.27,N/A,N/A,1.62226e-15,1.43219e-14,contact simulation,computer graphics,
OSQP-polished,arma1_arma13,19158,338718,N/A,N/A,102,2448,8,1e-06,N/A,N/A,N/A,N/A,solved,1450,2.86632,N/A,7.54952e-15,8.9255e-14,-1538.5,N/A,N/A,2.09112e-15,7.54952e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma14,19158,338718,N/A,N/A,129,3096,8,1e-06,N/A,N/A,N/A,N/A,solved,375,1.17102,N/A,1.46549e-14,3.48208e-13,-1530.67,N/A,N/A,1.24139e-15,1.46549e-14,contact simulation,computer graphics,
OSQP-polished,arma1_arma15,19158,338718,N/A,N/A,87,2088,8,1e-06,N/A,N/A,N/A,N/A,solved,225,0.854392,N/A,5.9952e-15,1.08503e-13,-1528.78,N/A,N/A,2.15454e-15,5.9952e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma1,19158,338718,N/A,N/A,165,3960,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.537665,N/A,4.78784e-15,2.69174e-13,-1597.66,N/A,N/A,3.54539e-17,4.78784e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma2,19158,338718,N/A,N/A,156,3744,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.62479,N/A,5.89806e-15,2.65225e-13,-1588.2,N/A,N/A,5.8076e-17,5.89806e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma3,19158,338718,N/A,N/A,138,3312,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.576022,N/A,3.95517e-15,1.34781e-13,-1583.04,N/A,N/A,1.15072e-16,3.95517e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma4,19158,338718,N/A,N/A,186,4464,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.743598,N/A,6.10623e-16,1.11022e-14,-1578.16,N/A,N/A,1.33818e-16,6.10623e-16,contact simulation,computer graphics,
OSQP-polished,arma1_arma5,19158,338718,N/A,N/A,186,4464,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.737032,N/A,7.89381e-15,2.17698e-13,-1573.35,N/A,N/A,1.45093e-16,7.89381e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma6,19158,338718,N/A,N/A,132,3168,8,1e-06,N/A,N/A,N/A,N/A,solved,250,0.818853,N/A,9.68673e-15,8.67917e-14,-1569.38,N/A,N/A,2.24498e-16,9.68673e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma7,19158,338718,N/A,N/A,144,3456,8,1e-06,N/A,N/A,N/A,N/A,solved,225,0.788127,N/A,2.34555e-15,2.18714e-14,-1563.42,N/A,N/A,5.80385e-17,2.34555e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma8,19158,338718,N/A,N/A,87,2088,8,1e-06,N/A,N/A,N/A,N/A,solved,350,1.11506,N/A,9.14443e-15,1.13243e-13,-1559.32,N/A,N/A,9.67611e-17,9.14443e-15,contact simulation,computer graphics,
OSQP-polished,arma1_arma9,19158,338718,N/A,N/A,57,1368,8,1e-06,N/A,N/A,N/A,N/A,solved,350,1.00995,N/A,1.89705e-15,2.5091e-14,-1557.02,N/A,N/A,8.86561e-17,1.89705e-15,contact simulation,computer graphics,
