Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,beam_floor0,1572,25662,N/A,N/A,11,33,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.100379,N/A,8.32667e-16,7.50333e-12,-726926,N/A,N/A,4.15168e-13,8.32667e-16,contact simulation,computer graphics,
OSQP-polished,beam_floor130,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.127795,N/A,2.10942e-15,5.34328e-12,-318211,N/A,N/A,1.00998e-13,2.10942e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor131,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.138005,N/A,2.33147e-15,4.77485e-12,-320863,N/A,N/A,1.1393e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor132,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.10727,N/A,2.55351e-15,4.77485e-12,-323525,N/A,N/A,1.41251e-13,2.55351e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor133,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0957203,N/A,2.66454e-15,5.22959e-12,-326182,N/A,N/A,1.36411e-13,2.66454e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor134,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0971184,N/A,2.55351e-15,4.43379e-12,-328827,N/A,N/A,1.33838e-13,2.55351e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor135,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0968762,N/A,2.44249e-15,6.13909e-12,-331453,N/A,N/A,1.30883e-13,2.44249e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor136,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0964906,N/A,2.55351e-15,3.75167e-12,-334062,N/A,N/A,1.39563e-13,2.55351e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor137,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0973342,N/A,2.44249e-15,5.22959e-12,-336657,N/A,N/A,1.35741e-13,2.44249e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor138,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0926344,N/A,2.55351e-15,5.45697e-12,-339243,N/A,N/A,1.43782e-13,2.55351e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor139,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0899169,N/A,2.33147e-15,7.16227e-12,-341829,N/A,N/A,1.32494e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor140,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0904447,N/A,2.33147e-15,4.3201e-12,-344424,N/A,N/A,1.33194e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor141,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0907262,N/A,2.22045e-15,3.97904e-12,-347036,N/A,N/A,1.27036e-13,2.22045e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor142,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0906026,N/A,2.33147e-15,5.91172e-12,-349672,N/A,N/A,1.33116e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor143,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.090628,N/A,2.33147e-15,5.22959e-12,-352337,N/A,N/A,1.32445e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor144,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0903876,N/A,2.10942e-15,7.50333e-12,-355033,N/A,N/A,1.1894e-13,2.10942e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor145,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0902765,N/A,2.33147e-15,6.0254e-12,-357759,N/A,N/A,1.30258e-13,2.33147e-15,contact simulation,computer graphics,
OSQP-polished,beam_floor146,1572,25662,N/A,N/A,141,423,8,1e-06,N/A,N/A,N/A,N/A,solved,75,0.0898534,N/A,2.22045e-15,4.54747e-12,-360511,N/A,N/A,1.28089e-13,2.22045e-15,contact simulation,computer graphics,
