Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,garg2_garg20,28638,533088,N/A,N/A,171,4104,8,1e-06,N/A,N/A,N/A,N/A,solved,200,1.20842,N/A,1.77636e-15,5.24979e-14,-931.297,N/A,N/A,2.84406e-17,1.77636e-15,contact simulation,computer graphics,
OSQP-polished,garg2_garg210,28638,533088,N/A,N/A,882,21168,8,1e-06,N/A,N/A,N/A,N/A,solved,3875,12.5971,N/A,1.67365e-07,1.72786e-06,-406.206,N/A,N/A,1.28795e-08,1.67365e-07,contact simulation,computer graphics,
OSQP-polished,garg2_garg211,28638,533088,N/A,N/A,777,18648,8,1e-06,N/A,N/A,N/A,N/A,solved,575,2.32136,N/A,1.46941e-07,1.75847e-06,-384.642,N/A,N/A,2.15295e-08,1.46941e-07,contact simulation,computer graphics,
OSQP-polished,garg2_garg212,28638,533088,N/A,N/A,870,20880,8,1e-06,N/A,N/A,N/A,N/A,solved,1450,4.77936,N/A,2.51052e-06,1.5515e-07,-376.217,N/A,N/A,2.0349e-07,2.51052e-06,contact simulation,computer graphics,
OSQP-polished,garg2_garg213,28638,533088,N/A,N/A,891,21384,8,1e-06,N/A,N/A,N/A,N/A,solved,9950,31.1776,N/A,1.2205e-06,1.01637e-06,-381.646,N/A,N/A,1.74841e-07,1.2205e-06,contact simulation,computer graphics,
OSQP-polished,garg2_garg214,28638,533088,N/A,N/A,918,22032,8,1e-06,N/A,N/A,N/A,N/A,solved,26725,79.3267,N/A,2.28602e-06,1.77293e-06,-396.388,N/A,N/A,8.44473e-06,2.28602e-06,contact simulation,computer graphics,
OSQP-polished,garg2_garg21,28638,533088,N/A,N/A,204,4896,8,1e-06,N/A,N/A,N/A,N/A,solved,350,1.55393,N/A,3.58602e-14,1.04722e-12,-902.368,N/A,N/A,5.03063e-17,3.58602e-14,contact simulation,computer graphics,
OSQP-polished,garg2_garg22,28638,533088,N/A,N/A,228,5472,8,1e-06,N/A,N/A,N/A,N/A,solved,475,1.944,N/A,3.05866e-14,1.27074e-12,-870.292,N/A,N/A,7.45139e-17,3.05866e-14,contact simulation,computer graphics,
OSQP-polished,garg2_garg23,28638,533088,N/A,N/A,348,8352,8,1e-06,N/A,N/A,N/A,N/A,solved,700,2.69463,N/A,3.1336e-14,1.12476e-12,-829.102,N/A,N/A,1.05519e-16,3.1336e-14,contact simulation,computer graphics,
OSQP-polished,garg2_garg24,28638,533088,N/A,N/A,438,10512,8,1e-06,N/A,N/A,N/A,N/A,solved,225,1.2148,N/A,1.56571e-07,1.06022e-06,-766.543,N/A,N/A,2.62914e-08,1.56571e-07,contact simulation,computer graphics,
OSQP-polished,garg2_garg25,28638,533088,N/A,N/A,531,12744,8,1e-06,N/A,N/A,N/A,N/A,solved,900,3.09066,N/A,2.10137e-06,1.8018e-06,-698.074,N/A,N/A,6.18995e-08,2.10137e-06,contact simulation,computer graphics,
OSQP-polished,garg2_garg26,28638,533088,N/A,N/A,618,14832,8,1e-06,N/A,N/A,N/A,N/A,solved,200,1.22039,N/A,2.3657e-06,5.32847e-07,-623.141,N/A,N/A,3.63739e-07,2.3657e-06,contact simulation,computer graphics,
OSQP-polished,garg2_garg27,28638,533088,N/A,N/A,636,15264,8,1e-06,N/A,N/A,N/A,N/A,solved,775,2.85319,N/A,4.59725e-07,4.8318e-07,-554.255,N/A,N/A,7.41913e-08,4.59725e-07,contact simulation,computer graphics,
OSQP-polished,garg2_garg28,28638,533088,N/A,N/A,759,18216,8,1e-06,N/A,N/A,N/A,N/A,solved,625,2.40668,N/A,3.21882e-08,2.80647e-07,-492.095,N/A,N/A,4.71089e-09,3.21882e-08,contact simulation,computer graphics,
OSQP-polished,garg2_garg29,28638,533088,N/A,N/A,654,15696,8,1e-06,N/A,N/A,N/A,N/A,solved,850,3.05796,N/A,2.22691e-06,2.62553e-07,-444.561,N/A,N/A,5.32683e-07,2.22691e-06,contact simulation,computer graphics,
OSQP-polished,garg3_floor0,29841,548823,N/A,N/A,216,648,8,1e-06,N/A,N/A,N/A,N/A,solved,225,1.33462,N/A,1.11022e-16,6.05817e-13,-918.771,N/A,N/A,7.52482e-16,1.11022e-16,contact simulation,computer graphics,
OSQP-polished,garg3_garg30,59682,1097646,N/A,N/A,234,5616,8,1e-06,N/A,N/A,N/A,N/A,solved,150,2.16612,N/A,7.36737e-15,3.67597e-14,-934.145,N/A,N/A,3.8415e-16,7.36737e-15,contact simulation,computer graphics,
OSQP-polished,garg_floor0,14319,266544,N/A,N/A,80,240,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.492641,N/A,2.77556e-17,7.21867e-13,-898.597,N/A,N/A,3.37876e-16,2.77556e-17,contact simulation,computer graphics,
OSQP-polished,garg_floor10,14319,266544,N/A,N/A,34,102,8,1e-06,N/A,N/A,N/A,N/A,solved,275,0.773329,N/A,1.11022e-16,3.97959e-13,-167.171,N/A,N/A,2.31475e-16,1.11022e-16,contact simulation,computer graphics,
OSQP-polished,garg_floor11,14319,266544,N/A,N/A,18,54,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.54113,N/A,1.11022e-16,2.71644e-13,-173.421,N/A,N/A,1.71469e-16,1.11022e-16,contact simulation,computer graphics,
