Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,gargnested2_falling0,1035,18477,N/A,N/A,1,12,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0905951,N/A,6.66134e-16,1.1342e-12,-1785.92,N/A,N/A,5.01165e-14,6.66134e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling10,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0868865,N/A,0,9.54681e-13,-1370.35,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling11,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0877159,N/A,0,1.11722e-12,-1396.07,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling12,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.105825,N/A,4.44089e-16,1.48326e-12,-1421.93,N/A,N/A,7.37149e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling13,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,275,0.121542,N/A,4.44089e-16,8.89844e-13,-1448.13,N/A,N/A,6.93419e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling14,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,475,0.163382,N/A,4.44089e-16,1.60849e-12,-1474.67,N/A,N/A,7.01533e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling15,1035,18477,N/A,N/A,4,48,8,1e-06,N/A,N/A,N/A,N/A,solved,250,0.121032,N/A,0,9.07274e-13,-1487.55,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling16,1035,18477,N/A,N/A,4,48,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0905622,N/A,8.88178e-16,1.08746e-12,-1495.61,N/A,N/A,6.71112e-15,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling17,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0893071,N/A,8.88178e-16,1.36247e-12,-1512.88,N/A,N/A,6.09124e-15,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling18,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0902668,N/A,4.44089e-16,6.71463e-13,-1536.85,N/A,N/A,1.33728e-15,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling19,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0902403,N/A,4.44089e-16,9.91873e-13,-1560.71,N/A,N/A,1.15758e-15,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling1,1035,18477,N/A,N/A,5,60,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.103098,N/A,4.44089e-16,9.99645e-13,-1506.52,N/A,N/A,2.35177e-14,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling20,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0892456,N/A,4.44089e-16,1.02851e-12,-1582.52,N/A,N/A,8.83214e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling21,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0909448,N/A,4.44089e-16,9.07274e-13,-1604.23,N/A,N/A,6.19639e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling22,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0897733,N/A,0,6.60139e-13,-1627.44,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling23,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0909245,N/A,1.33227e-15,1.44507e-12,-1652.6,N/A,N/A,1.03039e-15,1.33227e-15,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling24,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0907789,N/A,4.44089e-16,1.07292e-12,-1679.42,N/A,N/A,3.35565e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling25,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0856413,N/A,4.44089e-16,1.16662e-12,-1707.3,N/A,N/A,3.80041e-16,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling26,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0859163,N/A,8.88178e-16,1.13241e-12,-1735.7,N/A,N/A,8.87995e-16,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling27,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,100,0.0819379,N/A,0,1.34801e-12,-1764.31,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling28,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0901975,N/A,8.88178e-16,1.60782e-12,-1793.07,N/A,N/A,1.11599e-15,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling29,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0918012,N/A,8.88178e-16,1.46572e-12,-1818.56,N/A,N/A,1.04322e-15,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling2,1035,18477,N/A,N/A,5,60,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.108195,N/A,1.11022e-15,8.80795e-13,-1465.19,N/A,N/A,2.87695e-14,1.11022e-15,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling30,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0891707,N/A,4.44089e-16,1.08979e-12,-1842.78,N/A,N/A,1.11462e-15,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling31,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.103078,N/A,1.11022e-16,9.41025e-13,-1868.7,N/A,N/A,3.81185e-16,1.11022e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling32,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.103061,N/A,2.22045e-16,1.11644e-12,-1896.5,N/A,N/A,7.3181e-16,2.22045e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling33,1035,18477,N/A,N/A,3,36,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.101871,N/A,5.55112e-16,9.52349e-13,-1926.09,N/A,N/A,1.6015e-15,5.55112e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling34,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0886304,N/A,1.11022e-16,1.34093e-12,-1956.58,N/A,N/A,2.52002e-16,1.11022e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling35,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0900246,N/A,5.55112e-16,1.11577e-12,-1987.08,N/A,N/A,8.63677e-16,5.55112e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling36,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0915814,N/A,3.33067e-16,9.42579e-13,-2017.14,N/A,N/A,2.84285e-16,3.33067e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling37,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,125,0.0917878,N/A,8.88178e-16,1.43885e-12,-2046.86,N/A,N/A,2.61997e-16,8.88178e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling38,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,175,0.103439,N/A,4.44089e-16,1.525e-12,-2076.69,N/A,N/A,7.92721e-17,4.44089e-16,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling39,1035,18477,N/A,N/A,2,24,8,1e-06,N/A,N/A,N/A,N/A,solved,150,0.0959441,N/A,0,8.53984e-13,-2107.07,N/A,N/A,0,0,contact simulation,computer graphics,
OSQP-polished,gargnested2_falling3,1035,18477,N/A,N/A,5,60,8,1e-06,N/A,N/A,N/A,N/A,solved,200,0.107875,N/A,4.44089e-16,1.24079e-12,-1369.91,N/A,N/A,5.42987e-15,4.44089e-16,contact simulation,computer graphics,
