Tool Name,Problem Name,Hessian dim,Hessian NNZ,# of Eq Constraints,Eq Constraint NNZ,# of Ineq Const,Ineq Constraint NNZ,# of Threads,eps_abs,Outer GMRES Iter,Inner GMRES Iter,GMRES Tol,Diagonal Pert,Status,# of Iterations,Time (s),Active-set Size,Constraint Satisfaction Inf,Residual Lagrangian inf,Primal Obj,Dual Obj,Obj Value,Non-negativity Inf,Complementarity Inf,Problem Type,Problem Class,
OSQP-polished,test01_0,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0450981,N/A,6.66134e-16,3.54307e-15,11.3456,N/A,N/A,2.21168e-16,0,model predictive control,robotics,
OSQP-polished,test01_10,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0512956,N/A,8.88178e-16,4.06619e-15,5.00632,N/A,N/A,1.18369e-16,0,model predictive control,robotics,
OSQP-polished,test01_11,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.050559,N/A,6.66134e-16,2.19269e-15,4.54745,N/A,N/A,1.50365e-16,0,model predictive control,robotics,
OSQP-polished,test01_12,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0535258,N/A,1.33227e-15,2.13718e-15,4.11372,N/A,N/A,2.39424e-16,0,model predictive control,robotics,
OSQP-polished,test01_13,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0503726,N/A,4.44089e-16,5.55112e-16,3.7064,N/A,N/A,1.42294e-16,0,model predictive control,robotics,
OSQP-polished,test01_14,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0527205,N/A,8.88178e-16,2.38698e-15,3.32655,N/A,N/A,6.89356e-17,0,model predictive control,robotics,
OSQP-polished,test01_15,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0491566,N/A,6.66134e-16,2.16493e-15,2.97486,N/A,N/A,1.42294e-16,0,model predictive control,robotics,
OSQP-polished,test01_16,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0510338,N/A,6.66134e-16,2.05391e-15,2.65167,N/A,N/A,1.2736e-16,0,model predictive control,robotics,
OSQP-polished,test01_17,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0494705,N/A,8.88178e-16,1.16573e-15,2.35689,N/A,N/A,8.88456e-17,0,model predictive control,robotics,
OSQP-polished,test01_18,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0409242,N/A,6.66134e-16,1.11022e-15,2.09003,N/A,N/A,8.88455e-17,0,model predictive control,robotics,
OSQP-polished,test01_19,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0409318,N/A,8.88178e-16,8.93383e-16,1.85027,N/A,N/A,6.95099e-17,0,model predictive control,robotics,
OSQP-polished,test01_1,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0417918,N/A,8.88178e-16,3.43631e-15,10.424,N/A,N/A,2.84656e-16,0,model predictive control,robotics,
OSQP-polished,test01_2,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0406794,N/A,5.55112e-16,2.63678e-15,9.62579,N/A,N/A,1.73955e-16,0,model predictive control,robotics,
OSQP-polished,test01_3,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0437196,N/A,6.66134e-16,4.06272e-15,8.91318,N/A,N/A,2.14639e-16,0,model predictive control,robotics,
OSQP-polished,test01_4,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0404067,N/A,6.66134e-16,4.35763e-15,8.26048,N/A,N/A,3.00748e-16,0,model predictive control,robotics,
OSQP-polished,test01_5,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.038882,N/A,4.44089e-16,5.46438e-15,7.65075,N/A,N/A,2.21362e-16,0,model predictive control,robotics,
OSQP-polished,test01_6,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0414335,N/A,5.55112e-16,8.88178e-16,7.07336,N/A,N/A,1.66268e-16,0,model predictive control,robotics,
OSQP-polished,test01_7,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0404993,N/A,6.66134e-16,1.95677e-15,6.52225,N/A,N/A,1.88349e-16,0,model predictive control,robotics,
OSQP-polished,test01_8,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0408143,N/A,4.44089e-16,9.71445e-16,5.99443,N/A,N/A,1.81337e-16,0,model predictive control,robotics,
OSQP-polished,test01_9,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0396223,N/A,5.55112e-16,2.83107e-15,5.48899,N/A,N/A,9.58775e-17,0,model predictive control,robotics,
OSQP-polished,test02_0,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0423182,N/A,7.77156e-16,3.66326e-15,4.43058,N/A,N/A,1.70647e-16,0,model predictive control,robotics,
OSQP-polished,test02_10,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0405333,N/A,7.77156e-16,2.9976e-15,2.41404,N/A,N/A,1.16421e-16,0,model predictive control,robotics,
OSQP-polished,test02_11,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0416759,N/A,8.88178e-16,1.60982e-15,2.02075,N/A,N/A,1.08831e-16,0,model predictive control,robotics,
OSQP-polished,test02_12,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0408169,N/A,1.11022e-15,1.60982e-15,1.69172,N/A,N/A,1.07733e-16,0,model predictive control,robotics,
OSQP-polished,test02_13,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0395491,N/A,7.77156e-16,1.66533e-15,1.42018,N/A,N/A,1.26379e-16,0,model predictive control,robotics,
OSQP-polished,test02_14,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0393724,N/A,8.88178e-16,2.72005e-15,1.19898,N/A,N/A,7.01465e-17,0,model predictive control,robotics,
OSQP-polished,test02_15,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0395026,N/A,1.11022e-15,1.55431e-15,1.02119,N/A,N/A,4.31356e-17,0,model predictive control,robotics,
OSQP-polished,test02_16,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0392598,N/A,8.88178e-16,9.33715e-16,0.88031,N/A,N/A,5.82276e-17,0,model predictive control,robotics,
OSQP-polished,test02_17,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0398704,N/A,8.88178e-16,4.66294e-15,0.770433,N/A,N/A,5.82302e-17,0,model predictive control,robotics,
OSQP-polished,test02_18,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0408702,N/A,1.11022e-15,2.2482e-15,0.686283,N/A,N/A,3.32756e-17,0,model predictive control,robotics,
OSQP-polished,test02_19,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0420547,N/A,1.11022e-15,2.22045e-15,0.623212,N/A,N/A,1.93212e-17,0,model predictive control,robotics,
OSQP-polished,test02_1,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0418712,N/A,9.99201e-16,1.6653e-15,4.74602,N/A,N/A,1.28592e-16,0,model predictive control,robotics,
OSQP-polished,test02_2,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0415023,N/A,8.88178e-16,1.46064e-15,5.32322,N/A,N/A,1.87485e-16,0,model predictive control,robotics,
OSQP-polished,test02_3,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0399479,N/A,8.88178e-16,5.3603e-15,5.73814,N/A,N/A,1.66462e-16,0,model predictive control,robotics,
OSQP-polished,test02_4,185,185,N/A,N/A,125,2196,8,1e-06,N/A,N/A,N/A,N/A,solved,50,0.0412168,N/A,5.55112e-16,4.08007e-15,5.67266,N/A,N/A,1.65785e-16,0,model predictive control,robotics,
